refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000013,ZA-00022887,30/05/2018,183.11,DAMAGED
RF-0000134,ZA-00022588,30/05/2018,797.49,CHANGED_MIND
RF-0000145,ZA-00022787,31/05/2018,429.84,DAMAGED
RF-0000161,ZA-00022884,01/06/2018,78.39,CHANGED_MIND
RF-0000166,ZA-00022582,29/05/2018,85.85,LATE_DELIVERY
RF-0000214,ZA-00022674,01/06/2018,100.6,DUPLICATE
RF-0000274,ZA-00023213,03/06/2018,82.86,LATE_DELIVERY
RF-0000381,ZA-00022608,31/05/2018,122.15,DUPLICATE
RF-0000464,ZA-00022609,31/05/2018,584.31,NOT_AS_DESCRIBED
RF-0000512,ZA-00022837,29/05/2018,419.97,DAMAGED
RF-0000555,ZA-00023023,02/06/2018,691.35,DUPLICATE
RF-0000610,ZA-00022781,31/05/2018,457.54,LATE_DELIVERY
RF-0000622,ZA-00022326,29/05/2018,3532.51,CHANGED_MIND
RF-0000811,ZA-00022928,03/06/2018,1361.12,NOT_AS_DESCRIBED
RF-0000856,ZA-00022714,03/06/2018,1074.14,DUPLICATE
RF-0000861,ZA-00022337,29/05/2018,479.7,CHANGED_MIND
RF-0000954,ZA-00022946,02/06/2018,168.55,DAMAGED
RF-0000956,ZA-00022312,29/05/2018,31.72,DAMAGED
RF-0000973,ZA-00022556,28/05/2018,344.27,LATE_DELIVERY
RF-0000980,ZA-00022399,30/05/2018,68.78,LATE_DELIVERY
