refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000096,ZA-00026227,17/07/2018,84.46,DAMAGED
RF-0000184,ZA-00026502,19/07/2018,2424.77,LATE_DELIVERY
RF-0000225,ZA-00026552,18/07/2018,1406.84,LATE_DELIVERY
RF-0000304,ZA-00026138,16/07/2018,393.51,NOT_AS_DESCRIBED
RF-0000378,ZA-00026753,22/07/2018,200.0,LATE_DELIVERY
RF-0000400,ZA-00026743,22/07/2018,124.64,DAMAGED
RF-0000441,ZA-00026182,19/07/2018,658.04,LATE_DELIVERY
RF-0000584,ZA-00026239,17/07/2018,434.01,LATE_DELIVERY
RF-0000629,ZA-00026619,21/07/2018,401.61,DUPLICATE
RF-0000639,ZA-00026635,22/07/2018,1298.5,NOT_AS_DESCRIBED
RF-0000645,ZA-00026447,22/07/2018,247.46,LATE_DELIVERY
RF-0000711,ZA-00026750,21/07/2018,137.61,DUPLICATE
RF-0000831,ZA-00026914,21/07/2018,483.13,NOT_AS_DESCRIBED
RF-0000853,ZA-00026379,20/07/2018,818.11,NOT_AS_DESCRIBED
RF-0000961,ZA-00025957,16/07/2018,328.76,CHANGED_MIND
