refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000022,ZA-00018753,08/04/2018,461.34,DAMAGED
RF-0000049,ZA-00018430,02/04/2018,94.45,NOT_AS_DESCRIBED
RF-0000069,ZA-00018711,07/04/2018,1397.69,LATE_DELIVERY
RF-0000193,ZA-00018282,03/04/2018,1538.02,CHANGED_MIND
RF-0000349,ZA-00018764,06/04/2018,357.03,CHANGED_MIND
RF-0000410,ZA-00018839,05/04/2018,1642.28,CHANGED_MIND
RF-0000570,ZA-00018611,07/04/2018,343.91,DAMAGED
RF-0000579,ZA-00018630,06/04/2018,761.09,CHANGED_MIND
RF-0000587,ZA-00018776,07/04/2018,448.22,DAMAGED
RF-0000641,ZA-00019061,08/04/2018,597.22,LATE_DELIVERY
RF-0000651,ZA-00018991,06/04/2018,178.5,CHANGED_MIND
RF-0000701,ZA-00018739,04/04/2018,109.13,LATE_DELIVERY
RF-0000723,ZA-00018693,02/04/2018,153.57,DAMAGED
RF-0000791,ZA-00018774,04/04/2018,97.75,LATE_DELIVERY
RF-0000965,ZA-00018501,05/04/2018,975.36,LATE_DELIVERY
