refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000422,ZA-00013819,24/01/2018,2743.64,NOT_AS_DESCRIBED
RF-0000600,ZA-00013914,26/01/2018,451.13,DAMAGED
RF-0000609,ZA-00013971,27/01/2018,1494.77,CHANGED_MIND
RF-0000735,ZA-00013892,22/01/2018,2320.42,DAMAGED
RF-0000818,ZA-00014116,22/01/2018,302.07,DAMAGED
RF-0000837,ZA-00014189,28/01/2018,237.96,DAMAGED
RF-0000851,ZA-00014021,24/01/2018,1961.66,CHANGED_MIND
RF-0000855,ZA-00014007,25/01/2018,92.48,LATE_DELIVERY
RF-0000972,ZA-00013693,23/01/2018,366.63,CHANGED_MIND
RF-0000984,ZA-00014068,24/01/2018,300.31,DUPLICATE
