refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000066,ZA-00009166,31/10/2017,893.76,LATE_DELIVERY
RF-0000117,ZA-00009096,03/11/2017,284.09,LATE_DELIVERY
RF-0000142,ZA-00008901,30/10/2017,46.08,NOT_AS_DESCRIBED
RF-0000264,ZA-00008932,02/11/2017,240.17,LATE_DELIVERY
RF-0000301,ZA-00008849,30/10/2017,571.28,CHANGED_MIND
RF-0000405,ZA-00009055,03/11/2017,280.8,LATE_DELIVERY
RF-0000455,ZA-00009036,04/11/2017,432.33,DUPLICATE
RF-0000490,ZA-00008950,31/10/2017,113.26,CHANGED_MIND
RF-0000496,ZA-00009059,01/11/2017,2034.3,LATE_DELIVERY
RF-0000929,ZA-00009330,05/11/2017,469.99,DAMAGED
