refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000188,ZA-00007553,04/10/2017,554.68,CHANGED_MIND
RF-0000213,ZA-00007353,02/10/2017,1929.66,DAMAGED
RF-0000321,ZA-00007622,04/10/2017,499.36,CHANGED_MIND
RF-0000323,ZA-00007651,02/10/2017,401.97,NOT_AS_DESCRIBED
RF-0000354,ZA-00007692,04/10/2017,301.99,LATE_DELIVERY
RF-0000384,ZA-00007555,05/10/2017,400.99,LATE_DELIVERY
RF-0000574,ZA-00007624,07/10/2017,418.89,CHANGED_MIND
RF-0000749,ZA-00007674,06/10/2017,173.18,LATE_DELIVERY
RF-0000754,ZA-00007528,04/10/2017,839.71,LATE_DELIVERY
RF-0000786,ZA-00007522,02/10/2017,75.47,DAMAGED
RF-0000904,ZA-00007542,06/10/2017,67.86,LATE_DELIVERY
RF-0000958,ZA-00007755,08/10/2017,1815.13,NOT_AS_DESCRIBED
RF-0000988,ZA-00007884,08/10/2017,96.81,NOT_AS_DESCRIBED
RF-0000995,ZA-00007378,03/10/2017,660.51,LATE_DELIVERY
