refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000004,ZA-00010527,30/11/2017,2366.55,DUPLICATE
RF-0000010,ZA-00010521,30/11/2017,205.89,CHANGED_MIND
RF-0000035,ZA-00010829,30/11/2017,163.39,NOT_AS_DESCRIBED
RF-0000114,ZA-00010550,28/11/2017,507.78,CHANGED_MIND
RF-0000122,ZA-00010609,28/11/2017,340.92,CHANGED_MIND
RF-0000207,ZA-00010839,29/11/2017,402.94,LATE_DELIVERY
RF-0000242,ZA-00010854,01/12/2017,1148.43,CHANGED_MIND
RF-0000255,ZA-00010449,27/11/2017,1172.56,NOT_AS_DESCRIBED
RF-0000293,ZA-00010739,02/12/2017,1256.21,LATE_DELIVERY
RF-0000371,ZA-00010653,29/11/2017,303.86,LATE_DELIVERY
RF-0000491,ZA-00010991,03/12/2017,931.87,DAMAGED
RF-0000515,ZA-00010834,02/12/2017,1083.53,DAMAGED
RF-0000626,ZA-00010996,03/12/2017,1365.52,CHANGED_MIND
RF-0000647,ZA-00010711,28/11/2017,1038.02,NOT_AS_DESCRIBED
RF-0000700,ZA-00010838,02/12/2017,2081.47,LATE_DELIVERY
RF-0000858,ZA-00010310,27/11/2017,683.03,NOT_AS_DESCRIBED
RF-0000914,ZA-00010738,27/11/2017,73.33,LATE_DELIVERY
RF-0001002,ZA-00011065,03/12/2017,61.29,LATE_DELIVERY
