refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000082,ZA-00020961,04/05/2018,643.03,NOT_AS_DESCRIBED
RF-0000162,ZA-00020781,03/05/2018,1354.19,DAMAGED
RF-0000203,ZA-00020303,01/05/2018,548.86,CHANGED_MIND
RF-0000292,ZA-00020734,30/04/2018,654.74,DUPLICATE
RF-0000305,ZA-00020839,01/05/2018,539.96,DUPLICATE
RF-0000380,ZA-00020604,04/05/2018,304.96,CHANGED_MIND
RF-0000387,ZA-00020538,04/05/2018,1561.82,CHANGED_MIND
RF-0000569,ZA-00020613,05/05/2018,316.0,CHANGED_MIND
RF-0000632,ZA-00020398,03/05/2018,972.38,CHANGED_MIND
RF-0000757,ZA-00020997,06/05/2018,833.37,NOT_AS_DESCRIBED
RF-0000763,ZA-00020283,01/05/2018,195.07,NOT_AS_DESCRIBED
RF-0000841,ZA-00020978,03/05/2018,924.82,NOT_AS_DESCRIBED
RF-0000860,ZA-00020757,30/04/2018,462.22,CHANGED_MIND
RF-0000911,ZA-00020525,04/05/2018,566.83,CHANGED_MIND
