refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000263,ZA-00011177,10/12/2017,109.65,DAMAGED
RF-0000280,ZA-00011331,09/12/2017,1575.11,DAMAGED
RF-0000287,ZA-00011198,10/12/2017,548.28,CHANGED_MIND
RF-0000299,ZA-00011232,07/12/2017,1090.62,LATE_DELIVERY
RF-0000481,ZA-00011032,08/12/2017,855.31,DAMAGED
RF-0000489,ZA-00011010,07/12/2017,310.61,NOT_AS_DESCRIBED
RF-0000506,ZA-00011094,06/12/2017,100.35,NOT_AS_DESCRIBED
RF-0000590,ZA-00010703,04/12/2017,410.03,DUPLICATE
RF-0000656,ZA-00011197,07/12/2017,536.31,LATE_DELIVERY
RF-0000829,ZA-00010814,05/12/2017,579.39,CHANGED_MIND
RF-0000864,ZA-00010868,04/12/2017,324.48,CHANGED_MIND
RF-0000882,ZA-00011194,06/12/2017,1893.06,DUPLICATE
