refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000020,ZA-00004892,08/08/2017,3984.43,LATE_DELIVERY
RF-0000086,ZA-00005040,11/08/2017,316.46,LATE_DELIVERY
RF-0000111,ZA-00005038,13/08/2017,135.34,LATE_DELIVERY
RF-0000135,ZA-00004999,08/08/2017,1292.25,DAMAGED
RF-0000262,ZA-00005316,12/08/2017,625.3,DAMAGED
RF-0000279,ZA-00004923,08/08/2017,264.37,CHANGED_MIND
RF-0000394,ZA-00005060,11/08/2017,489.35,DUPLICATE
RF-0000418,ZA-00005307,13/08/2017,576.86,LATE_DELIVERY
RF-0000451,ZA-00005247,12/08/2017,183.26,DAMAGED
RF-0000516,ZA-00004900,07/08/2017,1449.47,NOT_AS_DESCRIBED
RF-0000560,ZA-00004916,09/08/2017,56.51,DAMAGED
RF-0000687,ZA-00005167,10/08/2017,3696.9,NOT_AS_DESCRIBED
RF-0000805,ZA-00005269,11/08/2017,960.67,CHANGED_MIND
RF-0000927,ZA-00005122,08/08/2017,454.28,DAMAGED
RF-0000975,ZA-00005062,09/08/2017,311.76,LATE_DELIVERY
