refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000030,ZA-00016678,07/03/2018,273.88,LATE_DELIVERY
RF-0000155,ZA-00017142,11/03/2018,399.51,LATE_DELIVERY
RF-0000204,ZA-00016635,09/03/2018,614.51,NOT_AS_DESCRIBED
RF-0000273,ZA-00016617,09/03/2018,230.58,CHANGED_MIND
RF-0000438,ZA-00016599,08/03/2018,179.56,NOT_AS_DESCRIBED
RF-0000457,ZA-00016769,05/03/2018,1437.84,DUPLICATE
RF-0000483,ZA-00016938,07/03/2018,1351.77,DAMAGED
RF-0000511,ZA-00017022,11/03/2018,903.79,DAMAGED
RF-0000604,ZA-00016921,07/03/2018,1119.02,LATE_DELIVERY
RF-0000608,ZA-00016823,06/03/2018,337.21,LATE_DELIVERY
RF-0000630,ZA-00017234,11/03/2018,354.79,DAMAGED
RF-0000728,ZA-00016645,09/03/2018,692.08,CHANGED_MIND
RF-0000808,ZA-00016991,11/03/2018,569.92,LATE_DELIVERY
RF-0000943,ZA-00016776,08/03/2018,228.45,LATE_DELIVERY
