refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000067,ZA-00021091,07/05/2018,945.39,LATE_DELIVERY
RF-0000079,ZA-00020845,09/05/2018,949.82,NOT_AS_DESCRIBED
RF-0000198,ZA-00021334,10/05/2018,1912.94,DAMAGED
RF-0000367,ZA-00020921,09/05/2018,1237.21,CHANGED_MIND
RF-0000397,ZA-00020779,08/05/2018,489.64,LATE_DELIVERY
RF-0000408,ZA-00021631,13/05/2018,717.6,CHANGED_MIND
RF-0000442,ZA-00021234,13/05/2018,750.6,CHANGED_MIND
RF-0000476,ZA-00021341,12/05/2018,56.78,NOT_AS_DESCRIBED
RF-0000478,ZA-00021116,09/05/2018,1727.62,LATE_DELIVERY
RF-0000530,ZA-00021056,07/05/2018,578.89,NOT_AS_DESCRIBED
RF-0000577,ZA-00021109,09/05/2018,2573.31,NOT_AS_DESCRIBED
RF-0000724,ZA-00021302,12/05/2018,470.74,NOT_AS_DESCRIBED
RF-0000891,ZA-00021229,08/05/2018,1397.62,DUPLICATE
RF-0000909,ZA-00021147,13/05/2018,194.94,DAMAGED
RF-0000963,ZA-00021409,10/05/2018,787.92,CHANGED_MIND
RF-0000983,ZA-00020920,08/05/2018,317.66,LATE_DELIVERY
