refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000048,ZA-00007895,13/10/2017,321.09,LATE_DELIVERY
RF-0000087,ZA-00007801,10/10/2017,91.27,LATE_DELIVERY
RF-0000118,ZA-00007783,09/10/2017,302.53,LATE_DELIVERY
RF-0000127,ZA-00007872,11/10/2017,143.53,NOT_AS_DESCRIBED
RF-0000227,ZA-00007831,12/10/2017,480.61,DUPLICATE
RF-0000314,ZA-00008078,14/10/2017,1602.17,NOT_AS_DESCRIBED
RF-0000417,ZA-00008051,15/10/2017,209.28,LATE_DELIVERY
RF-0000453,ZA-00008118,13/10/2017,493.33,DAMAGED
RF-0000538,ZA-00007966,11/10/2017,286.3,LATE_DELIVERY
RF-0000591,ZA-00007932,11/10/2017,2955.28,CHANGED_MIND
RF-0000742,ZA-00007998,14/10/2017,1965.76,CHANGED_MIND
RF-0000820,ZA-00008014,13/10/2017,144.35,CHANGED_MIND
RF-0000897,ZA-00007852,10/10/2017,194.78,NOT_AS_DESCRIBED
