refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000046,ZA-00031335,14/09/2018,171.13,LATE_DELIVERY
RF-0000061,ZA-00031248,14/09/2018,835.48,NOT_AS_DESCRIBED
RF-0000133,ZA-00030640,12/09/2018,1676.14,DAMAGED
RF-0000148,ZA-00030794,12/09/2018,86.62,LATE_DELIVERY
RF-0000174,ZA-00031145,15/09/2018,358.82,DAMAGED
RF-0000206,ZA-00031118,12/09/2018,375.84,LATE_DELIVERY
RF-0000217,ZA-00031242,15/09/2018,304.32,NOT_AS_DESCRIBED
RF-0000359,ZA-00030917,14/09/2018,843.99,LATE_DELIVERY
RF-0000486,ZA-00030939,14/09/2018,550.35,DAMAGED
RF-0000557,ZA-00031107,16/09/2018,123.93,LATE_DELIVERY
RF-0000620,ZA-00031106,14/09/2018,391.08,DAMAGED
RF-0000624,ZA-00031455,16/09/2018,123.85,DUPLICATE
RF-0000734,ZA-00031527,16/09/2018,3320.09,DAMAGED
RF-0000737,ZA-00031101,13/09/2018,806.67,LATE_DELIVERY
RF-0000745,ZA-00031055,16/09/2018,744.48,LATE_DELIVERY
RF-0000771,ZA-00031210,15/09/2018,1042.78,NOT_AS_DESCRIBED
RF-0000798,ZA-00031218,13/09/2018,249.4,NOT_AS_DESCRIBED
RF-0000813,ZA-00031200,13/09/2018,442.66,CHANGED_MIND
RF-0000999,ZA-00030818,10/09/2018,204.66,CHANGED_MIND
RF-0001005,ZA-00030888,12/09/2018,2208.26,CHANGED_MIND
