refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000090,ZA-00030189,05/09/2018,104.12,LATE_DELIVERY
RF-0000131,ZA-00029902,03/09/2018,3225.09,LATE_DELIVERY
RF-0000157,ZA-00030816,09/09/2018,268.85,NOT_AS_DESCRIBED
RF-0000202,ZA-00030667,06/09/2018,513.43,LATE_DELIVERY
RF-0000248,ZA-00030721,06/09/2018,455.74,DAMAGED
RF-0000395,ZA-00030398,03/09/2018,901.95,DUPLICATE
RF-0000488,ZA-00029974,04/09/2018,154.73,LATE_DELIVERY
RF-0000494,ZA-00030595,08/09/2018,41.76,DAMAGED
RF-0000520,ZA-00029892,03/09/2018,946.98,CHANGED_MIND
RF-0000537,ZA-00030269,03/09/2018,2437.73,CHANGED_MIND
RF-0000551,ZA-00030165,06/09/2018,108.67,CHANGED_MIND
RF-0000648,ZA-00030849,09/09/2018,1410.45,CHANGED_MIND
RF-0000746,ZA-00030895,09/09/2018,255.34,CHANGED_MIND
RF-0000825,ZA-00030201,06/09/2018,2126.9,DAMAGED
RF-0000857,ZA-00030966,09/09/2018,2065.16,DAMAGED
RF-0000896,ZA-00030533,04/09/2018,26.89,DAMAGED
RF-0000906,ZA-00030142,06/09/2018,251.31,CHANGED_MIND
RF-0000989,ZA-00030390,03/09/2018,226.81,DAMAGED
