refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000024,ZA-00021784,18/05/2018,1634.84,CHANGED_MIND
RF-0000083,ZA-00021756,19/05/2018,208.04,LATE_DELIVERY
RF-0000120,ZA-00021482,15/05/2018,233.44,CHANGED_MIND
RF-0000153,ZA-00021551,15/05/2018,580.34,LATE_DELIVERY
RF-0000156,ZA-00021832,18/05/2018,584.41,CHANGED_MIND
RF-0000168,ZA-00021875,16/05/2018,143.2,LATE_DELIVERY
RF-0000653,ZA-00021657,19/05/2018,2652.53,NOT_AS_DESCRIBED
RF-0000716,ZA-00021891,17/05/2018,104.61,CHANGED_MIND
RF-0000731,ZA-00021356,16/05/2018,101.97,NOT_AS_DESCRIBED
RF-0000887,ZA-00021536,16/05/2018,781.34,DAMAGED
RF-0000937,ZA-00021587,14/05/2018,211.53,DUPLICATE
RF-0000971,ZA-00021908,18/05/2018,2384.5,LATE_DELIVERY
RF-0000981,ZA-00021612,14/05/2018,2178.38,CHANGED_MIND
