refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000137,ZA-00022330,26/05/2018,491.01,CHANGED_MIND
RF-0000190,ZA-00021894,23/05/2018,1300.08,CHANGED_MIND
RF-0000232,ZA-00022384,25/05/2018,243.53,CHANGED_MIND
RF-0000258,ZA-00021901,21/05/2018,3298.61,CHANGED_MIND
RF-0000341,ZA-00022397,27/05/2018,610.44,CHANGED_MIND
RF-0000454,ZA-00021936,24/05/2018,602.16,NOT_AS_DESCRIBED
RF-0000546,ZA-00022164,21/05/2018,871.69,NOT_AS_DESCRIBED
RF-0000559,ZA-00022221,25/05/2018,1471.1,CHANGED_MIND
RF-0000601,ZA-00022474,27/05/2018,1068.75,LATE_DELIVERY
RF-0000636,ZA-00022374,24/05/2018,139.46,NOT_AS_DESCRIBED
RF-0000721,ZA-00022576,25/05/2018,875.28,DAMAGED
RF-0000787,ZA-00022045,25/05/2018,381.68,LATE_DELIVERY
RF-0000886,ZA-00022299,25/05/2018,2271.22,DAMAGED
RF-0000962,ZA-00022198,22/05/2018,499.29,CHANGED_MIND
RF-0000993,ZA-00022184,27/05/2018,1124.1,NOT_AS_DESCRIBED
