refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000062,ZA-00011333,13/12/2017,389.95,DAMAGED
RF-0000097,ZA-00011586,15/12/2017,88.26,CHANGED_MIND
RF-0000176,ZA-00011581,15/12/2017,1764.18,DUPLICATE
RF-0000178,ZA-00011389,16/12/2017,825.53,DAMAGED
RF-0000251,ZA-00011276,13/12/2017,293.98,CHANGED_MIND
RF-0000290,ZA-00011531,17/12/2017,487.56,LATE_DELIVERY
RF-0000332,ZA-00011161,12/12/2017,242.76,DAMAGED
RF-0000369,ZA-00011771,16/12/2017,266.21,DAMAGED
RF-0000462,ZA-00011583,12/12/2017,407.27,CHANGED_MIND
RF-0000482,ZA-00011699,15/12/2017,128.23,NOT_AS_DESCRIBED
RF-0000800,ZA-00011470,14/12/2017,311.47,LATE_DELIVERY
