refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000060,ZA-00015056,06/02/2018,854.03,DAMAGED
RF-0000141,ZA-00015221,10/02/2018,996.6,DUPLICATE
RF-0000163,ZA-00014741,07/02/2018,262.34,CHANGED_MIND
RF-0000330,ZA-00014710,05/02/2018,121.38,DAMAGED
RF-0000386,ZA-00014924,06/02/2018,141.75,LATE_DELIVERY
RF-0000388,ZA-00014650,06/02/2018,1328.73,CHANGED_MIND
RF-0000595,ZA-00015219,11/02/2018,160.92,LATE_DELIVERY
RF-0000720,ZA-00015342,10/02/2018,1460.34,DAMAGED
RF-0000755,ZA-00015287,09/02/2018,446.24,DAMAGED
RF-0000898,ZA-00014714,08/02/2018,446.47,LATE_DELIVERY
