refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000012,ZA-00026990,23/07/2018,53.86,DAMAGED
RF-0000056,ZA-00027348,29/07/2018,172.77,NOT_AS_DESCRIBED
RF-0000146,ZA-00026918,24/07/2018,733.58,DAMAGED
RF-0000196,ZA-00027297,26/07/2018,354.57,LATE_DELIVERY
RF-0000233,ZA-00027172,27/07/2018,661.87,DUPLICATE
RF-0000239,ZA-00027295,26/07/2018,343.98,DUPLICATE
RF-0000334,ZA-00026868,24/07/2018,284.88,LATE_DELIVERY
RF-0000507,ZA-00027289,29/07/2018,517.54,NOT_AS_DESCRIBED
RF-0000558,ZA-00027528,29/07/2018,445.14,NOT_AS_DESCRIBED
RF-0000575,ZA-00026766,25/07/2018,369.01,LATE_DELIVERY
RF-0000613,ZA-00026682,23/07/2018,391.25,LATE_DELIVERY
RF-0000736,ZA-00026465,23/07/2018,3317.96,LATE_DELIVERY
RF-0000830,ZA-00027219,28/07/2018,186.81,LATE_DELIVERY
