refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000002,ZA-00029793,26/08/2018,1906.8,NOT_AS_DESCRIBED
RF-0000017,ZA-00028808,20/08/2018,336.29,NOT_AS_DESCRIBED
RF-0000019,ZA-00029322,23/08/2018,344.07,DUPLICATE
RF-0000077,ZA-00029350,24/08/2018,600.12,LATE_DELIVERY
RF-0000128,ZA-00029244,21/08/2018,313.56,NOT_AS_DESCRIBED
RF-0000149,ZA-00028929,21/08/2018,979.04,NOT_AS_DESCRIBED
RF-0000247,ZA-00029792,25/08/2018,1332.02,DAMAGED
RF-0000373,ZA-00029202,22/08/2018,868.7,LATE_DELIVERY
RF-0000377,ZA-00029161,24/08/2018,1832.29,DUPLICATE
RF-0000382,ZA-00029553,23/08/2018,301.78,CHANGED_MIND
RF-0000411,ZA-00028876,21/08/2018,1977.08,LATE_DELIVERY
RF-0000447,ZA-00029050,22/08/2018,560.14,NOT_AS_DESCRIBED
RF-0000501,ZA-00029368,23/08/2018,202.36,NOT_AS_DESCRIBED
RF-0000677,ZA-00029772,26/08/2018,111.49,LATE_DELIVERY
RF-0000743,ZA-00028912,22/08/2018,958.2,NOT_AS_DESCRIBED
RF-0000789,ZA-00029176,20/08/2018,641.61,NOT_AS_DESCRIBED
RF-0000865,ZA-00029361,23/08/2018,1024.32,NOT_AS_DESCRIBED
RF-0000969,ZA-00028802,20/08/2018,548.22,LATE_DELIVERY
RF-0000977,ZA-00029342,25/08/2018,851.6,CHANGED_MIND
