refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000100,ZA-00015690,20/02/2018,931.88,DAMAGED
RF-0000152,ZA-00015738,21/02/2018,422.9,DAMAGED
RF-0000245,ZA-00015985,24/02/2018,53.33,DAMAGED
RF-0000259,ZA-00015917,22/02/2018,385.69,DUPLICATE
RF-0000265,ZA-00015672,20/02/2018,394.76,LATE_DELIVERY
RF-0000282,ZA-00015810,22/02/2018,1394.34,NOT_AS_DESCRIBED
RF-0000302,ZA-00015987,23/02/2018,1455.31,LATE_DELIVERY
RF-0000495,ZA-00015820,20/02/2018,1034.97,DAMAGED
RF-0000498,ZA-00015881,19/02/2018,1489.76,CHANGED_MIND
RF-0000514,ZA-00015698,20/02/2018,650.34,DAMAGED
RF-0000554,ZA-00015971,21/02/2018,108.55,DAMAGED
RF-0000666,ZA-00016099,25/02/2018,926.8,NOT_AS_DESCRIBED
RF-0000692,ZA-00015811,20/02/2018,223.79,DAMAGED
RF-0000722,ZA-00015671,22/02/2018,2816.95,NOT_AS_DESCRIBED
RF-0000730,ZA-00015909,20/02/2018,418.06,NOT_AS_DESCRIBED
RF-0000796,ZA-00015868,19/02/2018,595.12,DUPLICATE
RF-0000801,ZA-00015444,19/02/2018,134.99,DUPLICATE
RF-0000807,ZA-00015935,21/02/2018,1299.35,DAMAGED
RF-0000934,ZA-00016061,23/02/2018,621.54,LATE_DELIVERY
RF-0000968,ZA-00015982,23/02/2018,205.64,DUPLICATE
RF-0000976,ZA-00016191,23/02/2018,234.46,CHANGED_MIND
