refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000112,ZA-00012851,05/01/2018,171.06,NOT_AS_DESCRIBED
RF-0000425,ZA-00012451,01/01/2018,139.36,CHANGED_MIND
RF-0000445,ZA-00012947,03/01/2018,1367.36,DUPLICATE
RF-0000456,ZA-00012726,02/01/2018,141.46,LATE_DELIVERY
RF-0000638,ZA-00012935,04/01/2018,705.29,NOT_AS_DESCRIBED
RF-0000681,ZA-00012727,01/01/2018,1710.82,DAMAGED
RF-0000694,ZA-00012780,02/01/2018,297.12,DAMAGED
RF-0000834,ZA-00012784,04/01/2018,129.07,DAMAGED
RF-0000907,ZA-00012999,05/01/2018,264.94,DAMAGED
RF-0000928,ZA-00012655,03/01/2018,264.13,LATE_DELIVERY
RF-0000987,ZA-00012895,03/01/2018,685.78,DUPLICATE
