refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000075,ZA-00031519,19/09/2018,1180.57,NOT_AS_DESCRIBED
RF-0000175,ZA-00031257,18/09/2018,127.01,DUPLICATE
RF-0000358,ZA-00031790,22/09/2018,750.1,LATE_DELIVERY
RF-0000412,ZA-00031284,17/09/2018,509.47,CHANGED_MIND
RF-0000611,ZA-00031645,22/09/2018,1137.61,DAMAGED
RF-0000710,ZA-00031725,23/09/2018,1576.32,LATE_DELIVERY
RF-0000732,ZA-00031546,18/09/2018,491.07,DAMAGED
RF-0000767,ZA-00031239,19/09/2018,754.4,DUPLICATE
RF-0000816,ZA-00031794,21/09/2018,117.39,NOT_AS_DESCRIBED
RF-0000827,ZA-00031870,22/09/2018,308.22,CHANGED_MIND
RF-0000836,ZA-00031208,19/09/2018,709.87,DUPLICATE
RF-0000879,ZA-00031488,18/09/2018,223.44,DAMAGED
RF-0000970,ZA-00031167,18/09/2018,733.4,LATE_DELIVERY
