refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000015,ZA-00009388,09/11/2017,349.96,NOT_AS_DESCRIBED
RF-0000025,ZA-00009322,09/11/2017,473.48,NOT_AS_DESCRIBED
RF-0000037,ZA-00009429,09/11/2017,480.74,DAMAGED
RF-0000039,ZA-00009182,07/11/2017,901.23,DUPLICATE
RF-0000211,ZA-00009882,12/11/2017,102.55,LATE_DELIVERY
RF-0000335,ZA-00009841,12/11/2017,1013.75,CHANGED_MIND
RF-0000424,ZA-00009522,11/11/2017,1832.19,CHANGED_MIND
RF-0000599,ZA-00009633,11/11/2017,1512.74,LATE_DELIVERY
RF-0000657,ZA-00009217,07/11/2017,490.21,DAMAGED
RF-0000748,ZA-00009534,10/11/2017,662.59,LATE_DELIVERY
RF-0000850,ZA-00009402,07/11/2017,28.57,CHANGED_MIND
RF-0000884,ZA-00009398,08/11/2017,170.64,DAMAGED
