refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000043,ZA-00029522,27/08/2018,557.01,CHANGED_MIND
RF-0000205,ZA-00030043,31/08/2018,597.98,LATE_DELIVERY
RF-0000368,ZA-00030025,29/08/2018,211.48,CHANGED_MIND
RF-0000403,ZA-00029890,01/09/2018,998.92,NOT_AS_DESCRIBED
RF-0000429,ZA-00029704,29/08/2018,636.38,CHANGED_MIND
RF-0000548,ZA-00029500,27/08/2018,517.59,DAMAGED
RF-0000588,ZA-00029558,27/08/2018,112.8,LATE_DELIVERY
RF-0000650,ZA-00029841,01/09/2018,452.8,CHANGED_MIND
RF-0000684,ZA-00030280,02/09/2018,215.47,CHANGED_MIND
RF-0000718,ZA-00029657,31/08/2018,2626.82,LATE_DELIVERY
RF-0000915,ZA-00030255,02/09/2018,373.87,CHANGED_MIND
RF-0000935,ZA-00030039,30/08/2018,377.46,DAMAGED
