refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000001,ZA-00005349,14/08/2017,1116.58,LATE_DELIVERY
RF-0000033,ZA-00005292,18/08/2017,189.81,DAMAGED
RF-0000110,ZA-00005284,17/08/2017,622.1,LATE_DELIVERY
RF-0000283,ZA-00005435,16/08/2017,861.47,CHANGED_MIND
RF-0000303,ZA-00005115,14/08/2017,872.59,LATE_DELIVERY
RF-0000318,ZA-00005509,19/08/2017,160.69,LATE_DELIVERY
RF-0000375,ZA-00005531,20/08/2017,300.48,DAMAGED
RF-0000499,ZA-00005312,19/08/2017,194.9,DUPLICATE
RF-0000547,ZA-00005479,20/08/2017,482.83,CHANGED_MIND
RF-0000556,ZA-00005148,14/08/2017,289.57,LATE_DELIVERY
RF-0000996,ZA-00005400,19/08/2017,890.96,CHANGED_MIND
