refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000003,ZA-00018505,01/04/2018,709.68,DAMAGED
RF-0000021,ZA-00018193,27/03/2018,449.8,LATE_DELIVERY
RF-0000032,ZA-00017810,26/03/2018,144.58,DUPLICATE
RF-0000140,ZA-00018368,30/03/2018,495.1,LATE_DELIVERY
RF-0000144,ZA-00018442,01/04/2018,1390.66,NOT_AS_DESCRIBED
RF-0000181,ZA-00018312,01/04/2018,1427.67,NOT_AS_DESCRIBED
RF-0000246,ZA-00018354,29/03/2018,611.81,CHANGED_MIND
RF-0000291,ZA-00017767,26/03/2018,152.01,CHANGED_MIND
RF-0000339,ZA-00018230,26/03/2018,146.44,CHANGED_MIND
RF-0000347,ZA-00018352,29/03/2018,1898.0,DAMAGED
RF-0000492,ZA-00018139,30/03/2018,108.14,CHANGED_MIND
RF-0000778,ZA-00018061,28/03/2018,343.64,DAMAGED
RF-0000844,ZA-00018034,27/03/2018,391.7,CHANGED_MIND
RF-0000944,ZA-00018156,01/04/2018,550.98,LATE_DELIVERY
RF-0000985,ZA-00018326,27/03/2018,159.92,NOT_AS_DESCRIBED
