refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000034,ZA-00033244,16/10/2018,148.39,LATE_DELIVERY
RF-0000044,ZA-00033950,21/10/2018,196.72,LATE_DELIVERY
RF-0000071,ZA-00033656,19/10/2018,973.68,LATE_DELIVERY
RF-0000080,ZA-00033708,21/10/2018,75.55,LATE_DELIVERY
RF-0000143,ZA-00034008,19/10/2018,196.89,LATE_DELIVERY
RF-0000229,ZA-00033719,20/10/2018,313.45,CHANGED_MIND
RF-0000327,ZA-00033576,19/10/2018,175.42,CHANGED_MIND
RF-0000356,ZA-00033470,17/10/2018,3315.73,CHANGED_MIND
RF-0000550,ZA-00033478,19/10/2018,1514.28,DUPLICATE
RF-0000672,ZA-00034152,21/10/2018,1542.12,LATE_DELIVERY
RF-0000714,ZA-00033865,17/10/2018,492.51,NOT_AS_DESCRIBED
