refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000151,ZA-00006199,03/09/2017,621.86,DUPLICATE
RF-0000200,ZA-00005905,31/08/2017,396.46,CHANGED_MIND
RF-0000221,ZA-00005924,28/08/2017,1074.08,LATE_DELIVERY
RF-0000338,ZA-00005937,31/08/2017,542.83,CHANGED_MIND
RF-0000450,ZA-00006167,01/09/2017,253.78,LATE_DELIVERY
RF-0000503,ZA-00006261,03/09/2017,283.8,CHANGED_MIND
RF-0000532,ZA-00006017,30/08/2017,1030.72,CHANGED_MIND
RF-0000566,ZA-00006059,02/09/2017,264.37,DAMAGED
RF-0000635,ZA-00005877,30/08/2017,989.15,LATE_DELIVERY
RF-0000766,ZA-00005887,28/08/2017,369.42,CHANGED_MIND
RF-0000919,ZA-00006127,02/09/2017,2578.39,DUPLICATE
