refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000029,ZA-00020091,21/04/2018,811.39,LATE_DELIVERY
RF-0000070,ZA-00019853,19/04/2018,945.44,LATE_DELIVERY
RF-0000094,ZA-00020078,22/04/2018,149.76,LATE_DELIVERY
RF-0000109,ZA-00019872,18/04/2018,288.25,DUPLICATE
RF-0000254,ZA-00020171,22/04/2018,388.87,CHANGED_MIND
RF-0000277,ZA-00019633,18/04/2018,94.02,DAMAGED
RF-0000428,ZA-00019291,17/04/2018,112.88,CHANGED_MIND
RF-0000487,ZA-00020019,20/04/2018,283.35,NOT_AS_DESCRIBED
RF-0000541,ZA-00019819,18/04/2018,1273.1,NOT_AS_DESCRIBED
RF-0000597,ZA-00019498,20/04/2018,107.42,LATE_DELIVERY
RF-0000751,ZA-00019969,22/04/2018,468.39,CHANGED_MIND
RF-0000769,ZA-00020092,22/04/2018,3490.39,DAMAGED
RF-0000979,ZA-00019982,21/04/2018,1091.85,NOT_AS_DESCRIBED
