refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000006,ZA-00027589,05/08/2018,212.34,NOT_AS_DESCRIBED
RF-0000018,ZA-00027950,05/08/2018,701.39,LATE_DELIVERY
RF-0000036,ZA-00027597,03/08/2018,266.52,LATE_DELIVERY
RF-0000164,ZA-00027592,02/08/2018,2123.21,LATE_DELIVERY
RF-0000180,ZA-00028019,04/08/2018,214.56,NOT_AS_DESCRIBED
RF-0000185,ZA-00027611,03/08/2018,339.6,CHANGED_MIND
RF-0000252,ZA-00027119,30/07/2018,1267.65,LATE_DELIVERY
RF-0000267,ZA-00027612,02/08/2018,2465.89,DUPLICATE
RF-0000284,ZA-00027892,02/08/2018,993.34,DAMAGED
RF-0000288,ZA-00027527,02/08/2018,185.89,NOT_AS_DESCRIBED
RF-0000308,ZA-00027213,30/07/2018,598.18,LATE_DELIVERY
RF-0000466,ZA-00027511,02/08/2018,3136.82,CHANGED_MIND
RF-0000470,ZA-00027537,04/08/2018,653.75,CHANGED_MIND
RF-0000472,ZA-00027838,05/08/2018,2512.46,CHANGED_MIND
RF-0000523,ZA-00027436,30/07/2018,619.54,LATE_DELIVERY
RF-0000644,ZA-00027666,01/08/2018,687.13,LATE_DELIVERY
RF-0000675,ZA-00027203,31/07/2018,427.88,CHANGED_MIND
RF-0000862,ZA-00027410,03/08/2018,315.03,DUPLICATE
RF-0000952,ZA-00027443,30/07/2018,631.48,DUPLICATE
RF-0000978,ZA-00027588,02/08/2018,650.77,NOT_AS_DESCRIBED
