refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000099,ZA-00032215,26/09/2018,606.76,DAMAGED
RF-0000177,ZA-00032185,25/09/2018,1551.74,LATE_DELIVERY
RF-0000331,ZA-00032207,30/09/2018,1700.42,LATE_DELIVERY
RF-0000435,ZA-00032196,28/09/2018,139.84,CHANGED_MIND
RF-0000446,ZA-00032144,25/09/2018,2866.29,NOT_AS_DESCRIBED
RF-0000460,ZA-00031962,25/09/2018,547.46,DAMAGED
RF-0000615,ZA-00032263,29/09/2018,562.64,NOT_AS_DESCRIBED
RF-0000705,ZA-00032080,25/09/2018,59.07,NOT_AS_DESCRIBED
RF-0000774,ZA-00032183,27/09/2018,253.21,DUPLICATE
RF-0000785,ZA-00032198,27/09/2018,232.29,DAMAGED
RF-0000793,ZA-00032071,30/09/2018,235.79,NOT_AS_DESCRIBED
RF-0000794,ZA-00032276,30/09/2018,1126.6,DAMAGED
RF-0000938,ZA-00032022,29/09/2018,3438.1,DAMAGED
RF-0000990,ZA-00031882,26/09/2018,1660.23,CHANGED_MIND
