refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000091,ZA-00028425,10/08/2018,53.45,LATE_DELIVERY
RF-0000222,ZA-00027930,08/08/2018,286.68,NOT_AS_DESCRIBED
RF-0000231,ZA-00028619,11/08/2018,484.49,LATE_DELIVERY
RF-0000294,ZA-00027835,06/08/2018,106.51,LATE_DELIVERY
RF-0000415,ZA-00028366,08/08/2018,2175.83,CHANGED_MIND
RF-0000480,ZA-00027689,07/08/2018,260.81,LATE_DELIVERY
RF-0000777,ZA-00027949,06/08/2018,2653.22,DUPLICATE
RF-0000784,ZA-00028189,06/08/2018,485.81,NOT_AS_DESCRIBED
RF-0000840,ZA-00027981,06/08/2018,1097.47,CHANGED_MIND
RF-0000925,ZA-00028032,08/08/2018,278.42,CHANGED_MIND
