refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000095,ZA-00017966,25/03/2018,80.78,NOT_AS_DESCRIBED
RF-0000268,ZA-00017878,21/03/2018,234.3,LATE_DELIVERY
RF-0000372,ZA-00017803,22/03/2018,703.87,NOT_AS_DESCRIBED
RF-0000383,ZA-00017765,20/03/2018,1607.02,DAMAGED
RF-0000402,ZA-00017591,20/03/2018,2276.27,DUPLICATE
RF-0000518,ZA-00017498,19/03/2018,505.06,DAMAGED
RF-0000612,ZA-00017389,20/03/2018,316.13,CHANGED_MIND
RF-0000646,ZA-00017523,22/03/2018,772.55,DAMAGED
RF-0000750,ZA-00017922,25/03/2018,932.42,LATE_DELIVERY
RF-0000758,ZA-00017465,22/03/2018,236.4,CHANGED_MIND
