refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000028,ZA-00013570,21/01/2018,525.56,DAMAGED
RF-0000121,ZA-00013670,21/01/2018,238.69,DAMAGED
RF-0000260,ZA-00013342,15/01/2018,849.18,NOT_AS_DESCRIBED
RF-0000407,ZA-00013508,19/01/2018,423.14,CHANGED_MIND
RF-0000526,ZA-00013595,18/01/2018,387.8,CHANGED_MIND
RF-0000706,ZA-00013613,17/01/2018,423.95,CHANGED_MIND
RF-0000733,ZA-00013433,18/01/2018,36.46,LATE_DELIVERY
RF-0000740,ZA-00013351,16/01/2018,230.85,DAMAGED
RF-0000892,ZA-00013601,19/01/2018,542.46,NOT_AS_DESCRIBED
RF-0000930,ZA-00013954,20/01/2018,42.36,CHANGED_MIND
RF-0000997,ZA-00013473,18/01/2018,409.07,LATE_DELIVERY
RF-0001009,ZA-00013275,16/01/2018,276.85,NOT_AS_DESCRIBED
