refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000045,ZA-00032846,11/10/2018,561.6,NOT_AS_DESCRIBED
RF-0000102,ZA-00033098,11/10/2018,230.04,DAMAGED
RF-0000126,ZA-00033252,11/10/2018,180.62,CHANGED_MIND
RF-0000216,ZA-00033533,13/10/2018,1201.31,LATE_DELIVERY
RF-0000285,ZA-00033290,14/10/2018,77.71,DUPLICATE
RF-0000313,ZA-00033146,13/10/2018,405.65,NOT_AS_DESCRIBED
RF-0000449,ZA-00033202,14/10/2018,1974.38,DAMAGED
RF-0000484,ZA-00033068,13/10/2018,203.49,DAMAGED
RF-0000509,ZA-00033170,13/10/2018,241.27,LATE_DELIVERY
RF-0000571,ZA-00033262,11/10/2018,4260.62,CHANGED_MIND
RF-0000593,ZA-00033096,09/10/2018,948.43,DAMAGED
RF-0000594,ZA-00033051,08/10/2018,1160.41,NOT_AS_DESCRIBED
RF-0000662,ZA-00033210,11/10/2018,209.71,DUPLICATE
RF-0000712,ZA-00032852,09/10/2018,265.92,DAMAGED
RF-0000795,ZA-00032904,08/10/2018,468.94,CHANGED_MIND
RF-0000797,ZA-00033445,13/10/2018,686.66,LATE_DELIVERY
RF-0000802,ZA-00032869,10/10/2018,1025.85,DAMAGED
RF-0000817,ZA-00032980,09/10/2018,245.98,CHANGED_MIND
