refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000108,ZA-00017120,14/03/2018,193.25,DUPLICATE
RF-0000113,ZA-00017706,18/03/2018,649.67,CHANGED_MIND
RF-0000237,ZA-00017425,18/03/2018,114.2,NOT_AS_DESCRIBED
RF-0000253,ZA-00017644,17/03/2018,483.5,CHANGED_MIND
RF-0000270,ZA-00017547,18/03/2018,185.41,CHANGED_MIND
RF-0000337,ZA-00017135,14/03/2018,525.56,DAMAGED
RF-0000413,ZA-00017479,18/03/2018,751.78,DAMAGED
RF-0000552,ZA-00017226,14/03/2018,554.66,CHANGED_MIND
RF-0000625,ZA-00017354,15/03/2018,1108.81,DAMAGED
RF-0000819,ZA-00017025,15/03/2018,857.55,CHANGED_MIND
RF-0000893,ZA-00017374,17/03/2018,59.02,DAMAGED
RF-0000945,ZA-00017164,17/03/2018,691.79,LATE_DELIVERY
RF-0000992,ZA-00017187,18/03/2018,285.42,DAMAGED
