refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000065,ZA-00015499,15/02/2018,369.27,NOT_AS_DESCRIBED
RF-0000084,ZA-00015124,13/02/2018,249.6,DAMAGED
RF-0000154,ZA-00015565,14/02/2018,909.12,DAMAGED
RF-0000244,ZA-00015130,14/02/2018,321.1,DAMAGED
RF-0000431,ZA-00015232,13/02/2018,527.68,DUPLICATE
RF-0000437,ZA-00015081,12/02/2018,3102.79,LATE_DELIVERY
RF-0000474,ZA-00015715,17/02/2018,99.81,NOT_AS_DESCRIBED
RF-0000475,ZA-00015495,12/02/2018,367.94,NOT_AS_DESCRIBED
RF-0000493,ZA-00015705,18/02/2018,197.08,DAMAGED
RF-0000535,ZA-00015458,17/02/2018,229.14,CHANGED_MIND
RF-0000542,ZA-00015412,12/02/2018,150.86,DAMAGED
RF-0000573,ZA-00015459,12/02/2018,239.89,LATE_DELIVERY
RF-0000576,ZA-00015112,12/02/2018,645.05,DAMAGED
RF-0000617,ZA-00015276,14/02/2018,855.48,LATE_DELIVERY
RF-0000652,ZA-00015426,13/02/2018,202.21,NOT_AS_DESCRIBED
RF-0000874,ZA-00015338,13/02/2018,78.56,LATE_DELIVERY
RF-0000881,ZA-00015419,17/02/2018,882.17,LATE_DELIVERY
RF-0000894,ZA-00015266,13/02/2018,596.0,NOT_AS_DESCRIBED
