refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000007,ZA-00024820,27/06/2018,982.19,DAMAGED
RF-0000136,ZA-00024798,29/06/2018,2627.08,CHANGED_MIND
RF-0000170,ZA-00025024,29/06/2018,984.49,DAMAGED
RF-0000179,ZA-00024984,01/07/2018,261.21,DAMAGED
RF-0000183,ZA-00025073,28/06/2018,137.61,LATE_DELIVERY
RF-0000329,ZA-00024616,25/06/2018,294.77,DUPLICATE
RF-0000409,ZA-00024948,01/07/2018,615.97,DAMAGED
RF-0000473,ZA-00024902,28/06/2018,795.93,CHANGED_MIND
RF-0000561,ZA-00024942,27/06/2018,439.29,NOT_AS_DESCRIBED
RF-0000605,ZA-00024880,29/06/2018,96.07,CHANGED_MIND
RF-0000685,ZA-00025384,01/07/2018,221.06,CHANGED_MIND
RF-0000719,ZA-00024992,27/06/2018,858.11,DAMAGED
RF-0000903,ZA-00024793,25/06/2018,343.1,NOT_AS_DESCRIBED
RF-0000939,ZA-00024564,26/06/2018,306.5,CHANGED_MIND
RF-0000940,ZA-00025191,01/07/2018,483.64,LATE_DELIVERY
RF-0000942,ZA-00024760,26/06/2018,1249.9,DAMAGED
RF-0000950,ZA-00024929,27/06/2018,1594.18,CHANGED_MIND
