refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000081,ZA-00006728,18/09/2017,393.53,DAMAGED
RF-0000119,ZA-00006717,18/09/2017,297.86,LATE_DELIVERY
RF-0000167,ZA-00007013,24/09/2017,92.07,LATE_DELIVERY
RF-0000171,ZA-00006838,20/09/2017,138.06,DUPLICATE
RF-0000186,ZA-00007105,24/09/2017,612.1,NOT_AS_DESCRIBED
RF-0000219,ZA-00006819,20/09/2017,4074.1,LATE_DELIVERY
RF-0000344,ZA-00006841,18/09/2017,1054.65,CHANGED_MIND
RF-0000528,ZA-00006937,20/09/2017,151.97,DAMAGED
RF-0000544,ZA-00007178,21/09/2017,195.19,NOT_AS_DESCRIBED
RF-0000585,ZA-00007084,21/09/2017,2725.07,LATE_DELIVERY
RF-0000596,ZA-00006902,22/09/2017,176.11,CHANGED_MIND
RF-0000779,ZA-00007015,21/09/2017,272.84,CHANGED_MIND
RF-0000982,ZA-00007163,21/09/2017,639.57,DUPLICATE
