refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000011,ZA-00032636,03/10/2018,441.24,CHANGED_MIND
RF-0000038,ZA-00032556,01/10/2018,843.37,NOT_AS_DESCRIBED
RF-0000103,ZA-00032757,07/10/2018,1101.87,CHANGED_MIND
RF-0000116,ZA-00032611,07/10/2018,723.01,NOT_AS_DESCRIBED
RF-0000201,ZA-00032445,04/10/2018,243.7,LATE_DELIVERY
RF-0000317,ZA-00032626,05/10/2018,223.67,NOT_AS_DESCRIBED
RF-0000401,ZA-00032950,06/10/2018,487.97,CHANGED_MIND
RF-0000463,ZA-00032237,02/10/2018,1352.95,DUPLICATE
RF-0000471,ZA-00032754,03/10/2018,176.84,CHANGED_MIND
RF-0000525,ZA-00032712,04/10/2018,67.54,DAMAGED
RF-0000563,ZA-00032798,07/10/2018,213.81,CHANGED_MIND
RF-0000665,ZA-00032384,03/10/2018,93.71,DAMAGED
RF-0000770,ZA-00032163,01/10/2018,812.16,NOT_AS_DESCRIBED
RF-0000872,ZA-00032428,05/10/2018,266.88,DUPLICATE
RF-0000913,ZA-00032342,02/10/2018,259.1,LATE_DELIVERY
RF-0001003,ZA-00032804,07/10/2018,941.95,LATE_DELIVERY
RF-0001006,ZA-00032478,05/10/2018,703.53,NOT_AS_DESCRIBED
