refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000138,ZA-00025998,10/07/2018,1383.89,DAMAGED
RF-0000218,ZA-00025944,11/07/2018,523.83,LATE_DELIVERY
RF-0000300,ZA-00025885,10/07/2018,985.82,LATE_DELIVERY
RF-0000315,ZA-00025877,14/07/2018,130.75,NOT_AS_DESCRIBED
RF-0000345,ZA-00025703,09/07/2018,162.83,LATE_DELIVERY
RF-0000385,ZA-00026357,15/07/2018,1037.61,DAMAGED
RF-0000549,ZA-00026120,12/07/2018,129.43,DAMAGED
RF-0000562,ZA-00025943,12/07/2018,250.59,CHANGED_MIND
RF-0000582,ZA-00026220,14/07/2018,62.06,CHANGED_MIND
RF-0000660,ZA-00025991,15/07/2018,2917.84,LATE_DELIVERY
RF-0000697,ZA-00025947,09/07/2018,706.43,CHANGED_MIND
RF-0000773,ZA-00025858,12/07/2018,301.29,DAMAGED
RF-0000821,ZA-00026076,10/07/2018,1152.15,CHANGED_MIND
RF-0000843,ZA-00026412,15/07/2018,100.6,NOT_AS_DESCRIBED
RF-0000955,ZA-00025999,11/07/2018,189.23,DUPLICATE
