refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000014,ZA-00033932,25/10/2018,63.73,CHANGED_MIND
RF-0000085,ZA-00033934,22/10/2018,199.28,CHANGED_MIND
RF-0000223,ZA-00034066,24/10/2018,53.35,LATE_DELIVERY
RF-0000234,ZA-00034199,24/10/2018,358.6,NOT_AS_DESCRIBED
RF-0000286,ZA-00034304,28/10/2018,421.87,CHANGED_MIND
RF-0000316,ZA-00034467,26/10/2018,960.39,CHANGED_MIND
RF-0000361,ZA-00033813,22/10/2018,533.06,CHANGED_MIND
RF-0000379,ZA-00034092,25/10/2018,207.07,DUPLICATE
RF-0000393,ZA-00034038,26/10/2018,650.8,DAMAGED
RF-0000426,ZA-00033930,24/10/2018,733.56,LATE_DELIVERY
RF-0000434,ZA-00034497,27/10/2018,1640.91,LATE_DELIVERY
RF-0000521,ZA-00033947,22/10/2018,1142.68,NOT_AS_DESCRIBED
RF-0000603,ZA-00034033,26/10/2018,525.67,CHANGED_MIND
RF-0000618,ZA-00033822,24/10/2018,532.78,NOT_AS_DESCRIBED
RF-0000655,ZA-00034345,24/10/2018,24.97,CHANGED_MIND
RF-0000703,ZA-00034338,27/10/2018,2025.34,NOT_AS_DESCRIBED
RF-0000707,ZA-00034669,28/10/2018,2170.14,NOT_AS_DESCRIBED
RF-0000775,ZA-00034270,24/10/2018,522.77,DUPLICATE
RF-0000780,ZA-00033913,22/10/2018,791.33,DAMAGED
RF-0000803,ZA-00034201,24/10/2018,350.25,LATE_DELIVERY
RF-0000810,ZA-00034071,23/10/2018,1224.31,DAMAGED
RF-0000815,ZA-00034118,25/10/2018,804.8,NOT_AS_DESCRIBED
RF-0000823,ZA-00034354,26/10/2018,180.68,NOT_AS_DESCRIBED
RF-0000832,ZA-00034349,23/10/2018,441.89,DUPLICATE
RF-0000838,ZA-00034264,27/10/2018,1104.18,DAMAGED
RF-0000867,ZA-00034375,27/10/2018,322.32,NOT_AS_DESCRIBED
RF-0000936,ZA-00034515,26/10/2018,262.88,CHANGED_MIND
