refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000041,ZA-00023630,13/06/2018,7980.08,DAMAGED
RF-0000104,ZA-00024024,15/06/2018,589.16,LATE_DELIVERY
RF-0000129,ZA-00023460,11/06/2018,5634.08,NOT_AS_DESCRIBED
RF-0000169,ZA-00024188,16/06/2018,247.27,DAMAGED
RF-0000192,ZA-00024044,17/06/2018,583.88,DAMAGED
RF-0000271,ZA-00023988,16/06/2018,548.73,CHANGED_MIND
RF-0000414,ZA-00023572,12/06/2018,329.56,DAMAGED
RF-0000427,ZA-00023499,12/06/2018,999.87,CHANGED_MIND
RF-0000432,ZA-00023356,11/06/2018,2584.66,CHANGED_MIND
RF-0000539,ZA-00023949,12/06/2018,83.11,LATE_DELIVERY
RF-0000578,ZA-00023935,16/06/2018,562.55,NOT_AS_DESCRIBED
RF-0000598,ZA-00023948,15/06/2018,98.49,DAMAGED
RF-0000634,ZA-00023601,11/06/2018,166.54,CHANGED_MIND
RF-0000670,ZA-00024231,17/06/2018,857.71,DAMAGED
RF-0000738,ZA-00023327,11/06/2018,221.2,CHANGED_MIND
RF-0000752,ZA-00023689,15/06/2018,505.23,LATE_DELIVERY
RF-0000804,ZA-00023847,13/06/2018,899.96,CHANGED_MIND
RF-0000839,ZA-00023622,13/06/2018,303.3,DAMAGED
RF-0000846,ZA-00023848,12/06/2018,541.16,DAMAGED
RF-0000876,ZA-00023857,15/06/2018,2815.28,NOT_AS_DESCRIBED
RF-0000880,ZA-00023834,14/06/2018,291.04,NOT_AS_DESCRIBED
RF-0000895,ZA-00023516,12/06/2018,677.77,LATE_DELIVERY
RF-0001007,ZA-00023932,15/06/2018,2682.76,CHANGED_MIND
