refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000052,ZA-00004746,31/07/2017,189.0,DAMAGED
RF-0000074,ZA-00004720,04/08/2017,1175.05,DUPLICATE
RF-0000147,ZA-00004734,05/08/2017,149.74,CHANGED_MIND
RF-0000436,ZA-00004565,31/07/2017,1088.3,NOT_AS_DESCRIBED
RF-0000485,ZA-00005070,06/08/2017,400.82,DAMAGED
RF-0000627,ZA-00004749,02/08/2017,53.11,DAMAGED
RF-0000628,ZA-00004648,02/08/2017,1570.06,DUPLICATE
RF-0000668,ZA-00005035,06/08/2017,646.26,LATE_DELIVERY
RF-0000686,ZA-00004877,06/08/2017,47.1,CHANGED_MIND
RF-0000910,ZA-00004576,31/07/2017,142.84,CHANGED_MIND
RF-0000974,ZA-00004821,03/08/2017,592.6,DUPLICATE
