refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000059,ZA-00024468,22/06/2018,698.64,NOT_AS_DESCRIBED
RF-0000124,ZA-00024369,20/06/2018,791.22,DAMAGED
RF-0000125,ZA-00024767,24/06/2018,535.41,LATE_DELIVERY
RF-0000194,ZA-00024262,22/06/2018,78.7,LATE_DELIVERY
RF-0000342,ZA-00024015,18/06/2018,1121.43,LATE_DELIVERY
RF-0000366,ZA-00023975,20/06/2018,279.94,NOT_AS_DESCRIBED
RF-0000399,ZA-00024818,24/06/2018,110.26,DAMAGED
RF-0000465,ZA-00024628,24/06/2018,274.13,CHANGED_MIND
RF-0000902,ZA-00023835,18/06/2018,195.5,LATE_DELIVERY
RF-0000924,ZA-00024752,23/06/2018,3209.97,LATE_DELIVERY
RF-0000957,ZA-00024435,18/06/2018,1245.54,NOT_AS_DESCRIBED
RF-0000960,ZA-00024132,22/06/2018,392.91,CHANGED_MIND
RF-0000998,ZA-00024402,23/06/2018,332.24,NOT_AS_DESCRIBED
