refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000101,ZA-00012039,26/12/2017,548.94,LATE_DELIVERY
RF-0000172,ZA-00012482,29/12/2017,110.79,LATE_DELIVERY
RF-0000189,ZA-00012316,30/12/2017,219.78,LATE_DELIVERY
RF-0000275,ZA-00012810,31/12/2017,308.28,LATE_DELIVERY
RF-0000307,ZA-00012367,28/12/2017,129.71,CHANGED_MIND
RF-0000325,ZA-00012223,28/12/2017,2077.46,CHANGED_MIND
RF-0000353,ZA-00012281,25/12/2017,167.32,DAMAGED
RF-0000416,ZA-00012733,31/12/2017,228.08,LATE_DELIVERY
RF-0000448,ZA-00012614,28/12/2017,417.6,DAMAGED
RF-0000461,ZA-00012633,31/12/2017,825.55,LATE_DELIVERY
RF-0000533,ZA-00012546,31/12/2017,146.85,DAMAGED
RF-0000621,ZA-00011954,25/12/2017,582.29,CHANGED_MIND
RF-0000713,ZA-00012284,30/12/2017,1735.82,NOT_AS_DESCRIBED
RF-0000806,ZA-00012320,26/12/2017,3852.36,CHANGED_MIND
RF-0000921,ZA-00012335,28/12/2017,274.21,DUPLICATE
RF-0000986,ZA-00012254,27/12/2017,411.68,CHANGED_MIND
