refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000008,ZA-00020532,27/04/2018,138.16,LATE_DELIVERY
RF-0000047,ZA-00020021,24/04/2018,787.87,DAMAGED
RF-0000272,ZA-00020185,29/04/2018,677.83,CHANGED_MIND
RF-0000298,ZA-00019995,25/04/2018,95.8,CHANGED_MIND
RF-0000439,ZA-00019938,23/04/2018,129.27,LATE_DELIVERY
RF-0000602,ZA-00020131,25/04/2018,597.84,CHANGED_MIND
RF-0000623,ZA-00020420,27/04/2018,555.83,LATE_DELIVERY
RF-0000669,ZA-00020135,23/04/2018,859.17,DUPLICATE
RF-0000693,ZA-00020482,29/04/2018,231.88,CHANGED_MIND
RF-0000842,ZA-00020463,29/04/2018,268.06,LATE_DELIVERY
RF-0000899,ZA-00020181,28/04/2018,1936.45,DUPLICATE
RF-0000953,ZA-00020277,24/04/2018,561.96,DAMAGED
