refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000016,ZA-00012296,23/12/2017,284.65,NOT_AS_DESCRIBED
RF-0000040,ZA-00011946,22/12/2017,2433.78,NOT_AS_DESCRIBED
RF-0000107,ZA-00011647,18/12/2017,43.1,LATE_DELIVERY
RF-0000123,ZA-00011970,19/12/2017,603.15,LATE_DELIVERY
RF-0000159,ZA-00012138,22/12/2017,1290.53,DAMAGED
RF-0000312,ZA-00011573,19/12/2017,62.62,DUPLICATE
RF-0000351,ZA-00012155,24/12/2017,26.06,CHANGED_MIND
RF-0000363,ZA-00012294,24/12/2017,1071.15,DAMAGED
RF-0000389,ZA-00012102,20/12/2017,1958.15,CHANGED_MIND
RF-0000690,ZA-00012231,24/12/2017,284.82,DAMAGED
RF-0000696,ZA-00012195,24/12/2017,1355.72,DUPLICATE
RF-0000852,ZA-00011843,20/12/2017,951.98,LATE_DELIVERY
RF-0000966,ZA-00011845,22/12/2017,70.95,CHANGED_MIND
