refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000068,ZA-00006607,16/09/2017,1257.77,LATE_DELIVERY
RF-0000226,ZA-00006677,15/09/2017,2500.72,CHANGED_MIND
RF-0000236,ZA-00006643,14/09/2017,366.61,CHANGED_MIND
RF-0000249,ZA-00006523,11/09/2017,223.25,LATE_DELIVERY
RF-0000364,ZA-00006815,15/09/2017,1153.32,LATE_DELIVERY
RF-0000527,ZA-00006653,16/09/2017,1816.07,CHANGED_MIND
RF-0000567,ZA-00006567,12/09/2017,491.66,NOT_AS_DESCRIBED
RF-0000580,ZA-00006611,14/09/2017,116.77,NOT_AS_DESCRIBED
RF-0000741,ZA-00006734,15/09/2017,3442.76,DAMAGED
RF-0000753,ZA-00006719,13/09/2017,386.13,LATE_DELIVERY
RF-0000782,ZA-00006680,17/09/2017,565.69,CHANGED_MIND
RF-0000814,ZA-00006794,16/09/2017,217.12,NOT_AS_DESCRIBED
