refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000199,ZA-00025235,06/07/2018,300.44,LATE_DELIVERY
RF-0000209,ZA-00024892,02/07/2018,662.42,CHANGED_MIND
RF-0000210,ZA-00025471,07/07/2018,344.1,LATE_DELIVERY
RF-0000241,ZA-00025486,08/07/2018,86.47,DUPLICATE
RF-0000296,ZA-00025033,03/07/2018,628.21,DAMAGED
RF-0000320,ZA-00025617,04/07/2018,193.55,DUPLICATE
RF-0000343,ZA-00025302,05/07/2018,398.88,LATE_DELIVERY
RF-0000396,ZA-00025322,03/07/2018,378.53,LATE_DELIVERY
RF-0000680,ZA-00025755,06/07/2018,1408.35,CHANGED_MIND
RF-0000695,ZA-00025446,05/07/2018,249.97,LATE_DELIVERY
RF-0000760,ZA-00025585,08/07/2018,311.74,DAMAGED
RF-0000828,ZA-00025487,06/07/2018,1063.44,DAMAGED
RF-0000849,ZA-00025282,06/07/2018,301.11,CHANGED_MIND
RF-0000947,ZA-00025470,03/07/2018,814.83,LATE_DELIVERY
RF-0000967,ZA-00025515,07/07/2018,401.01,CHANGED_MIND
