snapshot_date;vendor_code;vendor_name;vendor_grade;town;province;postcode;comm_pct;active_flag
01/02/2017;ZAV00001;Jacarandá Shop.;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/02/2017;ZAV00002;Verde Bras.;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/02/2017;ZAV00003;GrupoVitória;SILVER;Pietermaritzburg;KwaZulu-Natal;3201;15.0;Y
01/02/2017;ZAV00004;Horizonte Brasil (Pty) Ltd;BRONZE;Nelspruit;Mpumalanga;1200;18.0;Y
01/02/2017;ZAV00005;Arte Vitóra;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/02/2017;ZAV00006;Marfim Expres;BRONZE;Centurion;Gauteng;157;18.0;Y
01/02/2017;ZAV00007;Empóri Pampa;SILVER;Sandton;Gauteng;2196;15.0;Y
01/02/2017;ZAV00008;Ipaema Brasil;BRONZE;Stellenbosch;Western Cape;7600;18.0;Y
01/02/2017;ZAV00009;House Lírio Shop;BRONZE;Port Elizabeth;Eastern Cape;6000;18.0;Y
01/02/2017;ZAV00010;Solar Ltda.;GOLD;Soweto;Gauteng;1804;12.0;Y
01/02/2017;ZAV00011;Ponto Tucao Shop;GOLD;East London;Eastern Cape;5200;12.0;Y
01/02/2017;ZAV00012;BELLAPITANGASTORE;GOLD;Polokwane;Limpopo;700;12.0;N
01/02/2017;ZAV00013;Distribution Onda;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/02/2017;ZAV00014;ÂMBARIMPORTADORA;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/02/2017;ZAV00015;Grupo Horizonte Retail;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/02/2017;ZAV00016;Cedro Lta;SILVER;East London;Eastern Cape;5200;15.0;Y
01/02/2017;ZAV00017;MUNDOGIRASSOLBRASIL;PLATINUM;Rustenburg;North West;300;9.5;Y
01/02/2017;ZAV00018;Nova Verd.;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/02/2017;ZAV00019;Rubi Expr.;GOLD;Cape Town;Western Cape;8000;12.0;Y
01/02/2017;ZAV00020;Prime Horizonte Imports;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/02/2017;ZAV00021;Empório Pampa Comé.;SILVER;Kimberley;Northern Cape;8300;15.0;Y
01/02/2017;ZAV00022;Comercial Atlântico Lda;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
