ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00001780,ZAC0009945,01/05/2017 08:56,COMPLETE,03/05/2017 01:56,10/05/2017 10:39,10/05/2017
ZA-00001781,ZAC0011384,01/05/2017 19:28,COMPLETE,03/05/2017 13:03,06/05/2017 01:25,07/05/2017
ZA-00001782,ZAC0001870,01/05/2017 09:27,COMPLETE,03/05/2017 17:46,11/05/2017 21:55,08/05/2017
ZA-00001783,ZAC0022866,01/05/2017 14:00,COMPLETE,02/05/2017 11:54,07/05/2017 17:50,12/05/2017
ZA-00001784,ZAC0015255,01/05/2017 11:24,COMPLETE,02/05/2017 11:09,03/05/2017 17:56,05/05/2017
ZA-00001785,ZAC0022357,01/05/2017 16:35,COMPLETE,03/05/2017 20:49,11/05/2017 03:40,10/05/2017
ZA-00001786,ZAC0001160,01/05/2017 15:33,COMPLETE,05/05/2017 13:44,18/05/2017 03:36,08/05/2017
ZA-00001787,ZAC0012635,01/05/2017 22:01,COMPLETE,07/05/2017 02:59,12/05/2017 15:47,12/05/2017
ZA-00001788,ZAC0019088,01/05/2017 22:49,RETURNED,02/05/2017 10:10,06/05/2017 02:19,06/05/2017
ZA-00001789,ZAC0022113,01/05/2017 07:48,COMPLETE,05/05/2017 03:38,08/05/2017 04:21,08/05/2017
ZA-00001790,ZAC0013008,01/05/2017 20:20,COMPLETE,02/05/2017 23:13,09/05/2017 18:27,12/05/2017
ZA-00001791,ZAC0021966,01/05/2017 13:51,COMPLETE,03/05/2017 18:16,08/05/2017 16:12,10/05/2017
ZA-00001792,ZAC0008866,01/05/2017 13:26,COMPLETE,02/05/2017 11:26,03/05/2017 03:41,05/05/2017
ZA-00001793,ZAC0001366,01/05/2017 21:52,COMPLETE,03/05/2017 17:03,07/05/2017 06:47,06/05/2017
ZA-00001794,ZAC0020966,01/05/2017 18:23,COMPLETE,02/05/2017 04:32,09/05/2017 23:00,07/05/2017
ZA-00001795,ZAC0003867,01/05/2017 07:20,RETURNED,05/05/2017 06:10,07/05/2017 10:05,09/05/2017
ZA-00001796,ZAC0013569,01/05/2017 22:18,COMPLETE,05/05/2017 18:18,14/05/2017 08:49,12/05/2017
ZA-00001797,ZAC0009413,01/05/2017 15:37,COMPLETE,02/05/2017 22:15,07/05/2017 08:50,06/05/2017
ZA-00001798,ZAC0004314,01/05/2017 13:21,COMPLETE,03/05/2017 07:05,10/05/2017 07:17,08/05/2017
ZA-00001799,ZAC0020462,01/05/2017 08:59,COMPLETE,03/05/2017 05:03,05/05/2017 06:22,07/05/2017
ZA-00001800,ZAC0012886,01/05/2017 12:50,COMPLETE,03/05/2017 21:00,07/05/2017 08:45,06/05/2017
ZA-00001801,ZAC0010580,01/05/2017 14:02,COMPLETE,07/05/2017 09:31,12/05/2017 14:31,12/05/2017
ZA-00001802,ZAC0012176,01/05/2017 08:52,COMPLETE,03/05/2017 03:35,07/05/2017 20:33,08/05/2017
