ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00011078,ZAC0007133,01/12/2017 13:44,COMPLETE,04/12/2017 20:09,08/12/2017 11:22,08/12/2017,
ZA-00011079,ZAC0002280,01/12/2017 06:28,COMPLETE,02/12/2017 15:04,10/12/2017 13:40,07/12/2017,
ZA-00011080,ZAC0016007,01/12/2017 21:06,COMPLETE,03/12/2017 19:02,06/12/2017 10:36,10/12/2017,
ZA-00011081,ZAC0005580,01/12/2017 09:43,COMPLETE,03/12/2017 22:17,08/12/2017 07:36,07/12/2017,
ZA-00011082,ZAC0016978,01/12/2017 09:03,DISPATCHED,02/12/2017 16:16,,12/12/2017,WINTER15
ZA-00011083,ZAC0023713,01/12/2017 22:51,COMPLETE,03/12/2017 06:39,08/12/2017 02:54,07/12/2017,
ZA-00011084,ZAC0020754,01/12/2017 09:54,COMPLETE,08/12/2017 22:59,13/12/2017 06:51,11/12/2017,
ZA-00011085,ZAC0015197,01/12/2017 19:41,COMPLETE,08/12/2017 10:16,09/12/2017 12:35,15/12/2017,
ZA-00011086,ZAC0022952,01/12/2017 11:04,COMPLETE,04/12/2017 16:32,06/12/2017 01:05,08/12/2017,
ZA-00011087,ZAC0019707,01/12/2017 19:47,COMPLETE,01/12/2017 20:56,03/12/2017 15:27,08/12/2017,
ZA-00011088,ZAC0008883,01/12/2017 15:40,COMPLETE,02/12/2017 18:25,06/12/2017 11:00,09/12/2017,
ZA-00011089,ZAC0011560,01/12/2017 18:28,COMPLETE,02/12/2017 09:25,08/12/2017 12:03,09/12/2017,
ZA-00011090,ZAC0007496,01/12/2017 12:45,COMPLETE,03/12/2017 16:18,05/12/2017 14:55,07/12/2017,
ZA-00011091,ZAC0018305,01/12/2017 12:09,COMPLETE,05/12/2017 01:06,05/12/2017 21:56,15/12/2017,
ZA-00011092,ZAC0011404,01/12/2017 11:54,COMPLETE,03/12/2017 23:07,10/12/2017 00:47,07/12/2017,
ZA-00011093,ZAC0010227,01/12/2017 22:00,COMPLETE,04/12/2017 06:12,09/12/2017 08:35,11/12/2017,
ZA-00011094,ZAC0020617,01/12/2017 07:06,COMPLETE,03/12/2017 02:41,08/12/2017 10:27,08/12/2017,
ZA-00011095,ZAC0007184,01/12/2017 11:18,COMPLETE,01/12/2017 20:38,06/12/2017 06:58,08/12/2017,WELCOME10
ZA-00011096,ZAC0010964,01/12/2017 09:47,COMPLETE,01/12/2017 18:07,04/12/2017 07:17,05/12/2017,
ZA-00011097,ZAC0008841,01/12/2017 19:38,COMPLETE,02/12/2017 19:36,05/12/2017 13:15,05/12/2017,
ZA-00011098,ZAC0023141,01/12/2017 19:12,COMPLETE,06/12/2017 04:06,08/12/2017 18:52,16/12/2017,
ZA-00011099,ZAC0002186,01/12/2017 09:09,COMPLETE,05/12/2017 15:19,06/12/2017 08:57,15/12/2017,
ZA-00011100,ZAC0018763,01/12/2017 15:05,COMPLETE,02/12/2017 14:04,05/12/2017 23:43,12/12/2017,
ZA-00011101,ZAC0010455,01/12/2017 18:25,COMPLETE,03/12/2017 17:11,07/12/2017 12:23,13/12/2017,
ZA-00011102,ZAC0021491,01/12/2017 18:20,COMPLETE,02/12/2017 23:40,09/12/2017 19:50,12/12/2017,
ZA-00011103,ZAC0007989,01/12/2017 22:13,COMPLETE,02/12/2017 19:46,03/12/2017 15:13,12/12/2017,
ZA-00011104,ZAC0000738,01/12/2017 07:21,COMPLETE,01/12/2017 12:56,02/12/2017 18:59,06/12/2017,
ZA-00011105,ZAC0000488,01/12/2017 08:45,COMPLETE,04/12/2017 15:07,13/12/2017 14:24,14/12/2017,WELCOME10
ZA-00011106,ZAC0022572,01/12/2017 12:04,COMPLETE,05/12/2017 14:07,10/12/2017 13:26,09/12/2017,
ZA-00011107,ZAC0022502,01/12/2017 19:47,COMPLETE,10/12/2017 01:38,13/12/2017 00:18,14/12/2017,WINTER15
ZA-00011108,ZAC0008479,01/12/2017 16:27,COMPLETE,02/12/2017 22:31,07/12/2017 14:54,05/12/2017,
ZA-00011109,ZAC0004961,01/12/2017 16:28,COMPLETE,05/12/2017 11:56,09/12/2017 07:54,08/12/2017,
ZA-00011110,ZAC0023351,01/12/2017 08:30,COMPLETE,02/12/2017 17:13,05/12/2017 13:27,12/12/2017,
ZA-00011111,ZAC0005572,01/12/2017 07:02,COMPLETE,03/12/2017 06:48,10/12/2017 15:14,06/12/2017,
ZA-00011112,ZAC0002927,01/12/2017 08:01,COMPLETE,03/12/2017 09:28,06/12/2017 20:35,08/12/2017,
ZA-00011113,ZAC0010739,01/12/2017 11:20,COMPLETE,02/12/2017 06:37,02/12/2017 21:50,07/12/2017,LOYAL5
ZA-00011114,ZAC0019324,01/12/2017 18:12,COMPLETE,02/12/2017 05:37,08/12/2017 13:57,07/12/2017,
ZA-00011115,ZAC0023841,01/12/2017 12:24,CANCELLED,,,,
ZA-00011116,ZAC0021495,01/12/2017 12:38,COMPLETE,02/12/2017 13:34,09/12/2017 22:04,09/12/2017,
ZA-00011117,ZAC0021201,01/12/2017 07:46,COMPLETE,03/12/2017 04:30,06/12/2017 10:05,06/12/2017,
ZA-00011118,ZAC0004955,01/12/2017 15:18,COMPLETE,03/12/2017 18:46,05/12/2017 11:49,06/12/2017,
ZA-00011119,ZAC0016742,01/12/2017 19:22,DISPATCHED,04/12/2017 17:46,,08/12/2017,
ZA-00011120,ZAC0007140,01/12/2017 14:33,COMPLETE,03/12/2017 17:03,13/12/2017 06:11,07/12/2017,
ZA-00011121,ZAC0018616,01/12/2017 15:29,COMPLETE,03/12/2017 17:02,09/12/2017 23:22,10/12/2017,
ZA-00011122,ZAC0004144,01/12/2017 18:09,COMPLETE,04/12/2017 08:33,08/12/2017 14:41,08/12/2017,
ZA-00011123,ZAC0015660,01/12/2017 21:48,COMPLETE,06/12/2017 02:06,07/12/2017 19:07,10/12/2017,
ZA-00011124,ZAC0005682,01/12/2017 13:17,COMPLETE,02/12/2017 22:14,07/12/2017 03:22,05/12/2017,
ZA-00011125,ZAC0005102,01/12/2017 06:49,COMPLETE,02/12/2017 00:31,05/12/2017 21:49,12/12/2017,WELCOME10
ZA-00011126,ZAC0020326,01/12/2017 12:07,COMPLETE,03/12/2017 00:40,08/12/2017 23:15,06/12/2017,
ZA-00011127,ZAC0003366,01/12/2017 15:05,COMPLETE,01/12/2017 23:50,09/12/2017 05:56,08/12/2017,BULK20
ZA-00011128,ZAC0014721,01/12/2017 13:21,COMPLETE,06/12/2017 12:15,13/12/2017 09:09,10/12/2017,
ZA-00011129,ZAC0018603,01/12/2017 11:45,COMPLETE,02/12/2017 10:57,06/12/2017 11:15,09/12/2017,
ZA-00011130,ZAC0019687,01/12/2017 08:18,COMPLETE,06/12/2017 09:16,10/12/2017 00:07,10/12/2017,
ZA-00011131,ZAC0014879,01/12/2017 13:52,COMPLETE,03/12/2017 11:52,08/12/2017 07:53,08/12/2017,
ZA-00011132,ZAC0004472,01/12/2017 11:30,COMPLETE,03/12/2017 03:02,12/12/2017 20:24,06/12/2017,WINTER15
ZA-00011133,ZAC0006582,02/12/2017 18:22,COMPLETE,06/12/2017 10:28,07/12/2017 19:28,10/12/2017,
ZA-00011134,ZAC0017425,02/12/2017 21:36,CANCELLED,,,,BULK20
ZA-00011135,ZAC0018800,02/12/2017 07:02,COMPLETE,04/12/2017 07:48,06/12/2017 15:26,08/12/2017,
ZA-00011136,ZAC0003749,02/12/2017 10:07,COMPLETE,04/12/2017 22:50,14/12/2017 16:28,08/12/2017,
ZA-00011137,ZAC0007859,02/12/2017 11:16,COMPLETE,04/12/2017 18:09,07/12/2017 19:56,11/12/2017,
ZA-00011138,ZAC0008357,02/12/2017 13:30,COMPLETE,03/12/2017 12:12,08/12/2017 03:22,08/12/2017,
ZA-00011139,ZAC0004587,02/12/2017 16:03,COMPLETE,04/12/2017 18:23,07/12/2017 03:04,11/12/2017,
ZA-00011140,ZAC0014810,02/12/2017 10:14,COMPLETE,04/12/2017 03:51,06/12/2017 08:22,08/12/2017,
ZA-00011141,ZAC0007948,02/12/2017 11:01,COMPLETE,05/12/2017 23:01,08/12/2017 10:06,10/12/2017,WINTER15
ZA-00011142,ZAC0002063,02/12/2017 10:36,COMPLETE,04/12/2017 00:15,14/12/2017 18:31,08/12/2017,WINTER15
ZA-00011143,ZAC0021022,02/12/2017 22:56,COMPLETE,03/12/2017 03:43,06/12/2017 16:34,07/12/2017,
ZA-00011144,ZAC0003248,02/12/2017 17:26,DISPATCHED,04/12/2017 05:19,,09/12/2017,
ZA-00011145,ZAC0005721,02/12/2017 16:23,COMPLETE,05/12/2017 06:40,08/12/2017 06:22,10/12/2017,
ZA-00011146,ZAC0002304,02/12/2017 13:37,COMPLETE,05/12/2017 13:43,19/12/2017 11:56,09/12/2017,
ZA-00011147,ZAC0013630,02/12/2017 15:36,COMPLETE,05/12/2017 01:33,14/12/2017 11:45,09/12/2017,
ZA-00011148,ZAC0012081,02/12/2017 21:06,CANCELLED,,,,
ZA-00011149,ZAC0005807,02/12/2017 09:55,COMPLETE,06/12/2017 17:53,10/12/2017 08:10,10/12/2017,
ZA-00011150,ZAC0017563,02/12/2017 15:27,COMPLETE,06/12/2017 10:14,17/12/2017 00:35,10/12/2017,
ZA-00011151,ZAC0021778,02/12/2017 12:27,COMPLETE,03/12/2017 05:42,08/12/2017 10:33,06/12/2017,BULK20
ZA-00011152,ZAC0020888,02/12/2017 20:41,COMPLETE,03/12/2017 08:26,04/12/2017 08:32,07/12/2017,
ZA-00011153,ZAC0010955,02/12/2017 12:43,COMPLETE,04/12/2017 21:47,07/12/2017 03:50,08/12/2017,
ZA-00011154,ZAC0023418,02/12/2017 09:26,COMPLETE,03/12/2017 06:53,06/12/2017 23:33,07/12/2017,
ZA-00011155,ZAC0013709,02/12/2017 20:02,COMPLETE,03/12/2017 09:21,04/12/2017 01:00,08/12/2017,WELCOME10
ZA-00011156,ZAC0020651,02/12/2017 19:34,COMPLETE,04/12/2017 14:57,07/12/2017 20:20,08/12/2017,WINTER15
ZA-00011157,ZAC0019231,02/12/2017 13:14,COMPLETE,02/12/2017 14:43,06/12/2017 16:45,12/12/2017,
ZA-00011158,ZAC0017975,02/12/2017 16:57,COMPLETE,03/12/2017 17:37,16/12/2017 19:54,08/12/2017,
ZA-00011159,ZAC0010546,02/12/2017 15:44,COMPLETE,04/12/2017 04:04,14/12/2017 19:46,07/12/2017,WINTER15
ZA-00011160,ZAC0000374,02/12/2017 08:07,RETURNED,07/12/2017 23:28,09/12/2017 00:47,12/12/2017,BULK20
ZA-00011161,ZAC0003508,02/12/2017 09:14,COMPLETE,06/12/2017 14:10,11/12/2017 04:10,10/12/2017,
ZA-00011162,ZAC0019380,02/12/2017 22:23,COMPLETE,06/12/2017 10:06,13/12/2017 17:50,13/12/2017,
ZA-00011163,ZAC0020228,02/12/2017 18:02,COMPLETE,03/12/2017 18:17,05/12/2017 18:12,07/12/2017,
ZA-00011164,ZAC0009850,02/12/2017 22:36,COMPLETE,04/12/2017 12:34,05/12/2017 10:17,09/12/2017,
ZA-00011165,ZAC0020541,02/12/2017 17:10,COMPLETE,05/12/2017 12:27,08/12/2017 21:58,09/12/2017,
ZA-00011166,ZAC0003445,02/12/2017 09:43,COMPLETE,04/12/2017 09:28,07/12/2017 14:07,09/12/2017,BULK20
ZA-00011167,ZAC0014055,02/12/2017 08:38,COMPLETE,02/12/2017 13:54,03/12/2017 16:28,07/12/2017,
ZA-00011168,ZAC0012413,02/12/2017 12:15,COMPLETE,05/12/2017 00:06,13/12/2017 22:03,10/12/2017,
ZA-00011169,ZAC0007162,02/12/2017 06:53,COMPLETE,04/12/2017 03:47,08/12/2017 00:42,07/12/2017,
ZA-00011170,ZAC0023793,02/12/2017 07:00,COMPLETE,05/12/2017 03:24,06/12/2017 02:12,10/12/2017,FREESHIP
ZA-00011171,ZAC0005732,02/12/2017 12:28,RETURNED,07/12/2017 23:36,13/12/2017 00:23,12/12/2017,
ZA-00011172,ZAC0007024,02/12/2017 18:54,COMPLETE,03/12/2017 01:13,11/12/2017 19:47,08/12/2017,
ZA-00011173,ZAC0018767,02/12/2017 14:35,COMPLETE,03/12/2017 10:14,04/12/2017 19:56,07/12/2017,
ZA-00011174,ZAC0015272,02/12/2017 18:09,COMPLETE,06/12/2017 02:48,11/12/2017 15:19,11/12/2017,
ZA-00011175,ZAC0015727,02/12/2017 14:39,COMPLETE,04/12/2017 20:33,07/12/2017 18:00,08/12/2017,
ZA-00011176,ZAC0006616,02/12/2017 21:24,COMPLETE,04/12/2017 03:59,09/12/2017 21:26,08/12/2017,FLASH25
ZA-00011177,ZAC0013231,02/12/2017 22:11,COMPLETE,06/12/2017 02:26,07/12/2017 15:23,09/12/2017,
