ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00006315,ZAC0015373,01/09/2017 11:10,COMPLETE,01/09/2017 21:24,04/09/2017 15:14,04/09/2017
ZA-00006316,ZAC0015116,01/09/2017 17:38,COMPLETE,02/09/2017 08:16,04/09/2017 13:22,05/09/2017
ZA-00006317,ZAC0014490,01/09/2017 06:10,COMPLETE,08/09/2017 23:22,13/09/2017 20:12,11/09/2017
ZA-00006318,ZAC0017191,01/09/2017 15:24,COMPLETE,02/09/2017 06:34,06/09/2017 02:43,06/09/2017
ZA-00006319,ZAC0004651,01/09/2017 12:59,COMPLETE,02/09/2017 00:36,05/09/2017 13:57,05/09/2017
ZA-00006320,ZAC0016687,01/09/2017 13:45,COMPLETE,03/09/2017 04:07,07/09/2017 06:00,07/09/2017
ZA-00006321,ZAC0002269,01/09/2017 12:11,COMPLETE,02/09/2017 08:17,05/09/2017 01:13,05/09/2017
ZA-00006322,ZAC0007838,01/09/2017 09:13,COMPLETE,03/09/2017 12:50,05/09/2017 17:23,06/09/2017
ZA-00006323,ZAC0004838,01/09/2017 10:27,COMPLETE,06/09/2017 03:33,08/09/2017 10:19,09/09/2017
ZA-00006324,ZAC0004792,01/09/2017 21:52,COMPLETE,05/09/2017 00:27,09/09/2017 10:07,08/09/2017
ZA-00006325,ZAC0021895,01/09/2017 18:57,COMPLETE,05/09/2017 02:49,06/09/2017 18:19,10/09/2017
ZA-00006326,ZAC0016606,01/09/2017 14:47,COMPLETE,02/09/2017 13:24,03/09/2017 03:43,05/09/2017
ZA-00006327,ZAC0011620,01/09/2017 22:12,COMPLETE,02/09/2017 03:11,07/09/2017 22:07,06/09/2017
ZA-00006328,ZAC0011522,01/09/2017 11:37,COMPLETE,03/09/2017 14:42,07/09/2017 10:45,07/09/2017
ZA-00006329,ZAC0003754,01/09/2017 06:30,COMPLETE,02/09/2017 12:12,08/09/2017 13:35,07/09/2017
ZA-00006330,ZAC0020228,01/09/2017 13:42,COMPLETE,07/09/2017 12:43,11/09/2017 10:29,11/09/2017
ZA-00006331,ZAC0000779,01/09/2017 10:24,COMPLETE,03/09/2017 08:22,10/09/2017 14:50,08/09/2017
ZA-00006332,ZAC0014215,01/09/2017 21:49,COMPLETE,04/09/2017 15:10,11/09/2017 00:35,08/09/2017
ZA-00006333,ZAC0007361,01/09/2017 08:59,COMPLETE,05/09/2017 03:30,11/09/2017 13:50,08/09/2017
ZA-00006334,ZAC0006213,01/09/2017 06:14,COMPLETE,04/09/2017 07:06,09/09/2017 08:26,09/09/2017
ZA-00006335,ZAC0021949,01/09/2017 22:18,DISPATCHED,05/09/2017 09:10,,09/09/2017
ZA-00006336,ZAC0020270,01/09/2017 21:01,COMPLETE,05/09/2017 20:09,09/09/2017 13:41,12/09/2017
ZA-00006337,ZAC0023129,01/09/2017 16:18,COMPLETE,03/09/2017 03:01,06/09/2017 12:50,06/09/2017
ZA-00006338,ZAC0002964,01/09/2017 12:42,COMPLETE,01/09/2017 22:32,09/09/2017 23:45,04/09/2017
ZA-00006339,ZAC0014633,01/09/2017 08:42,COMPLETE,01/09/2017 20:48,04/09/2017 16:06,06/09/2017
ZA-00006340,ZAC0015457,01/09/2017 06:34,COMPLETE,02/09/2017 14:41,07/09/2017 12:24,06/09/2017
ZA-00006341,ZAC0023062,01/09/2017 18:50,COMPLETE,05/09/2017 01:44,10/09/2017 18:17,09/09/2017
ZA-00006342,ZAC0011774,01/09/2017 12:57,COMPLETE,03/09/2017 13:11,04/09/2017 19:51,07/09/2017
ZA-00006343,ZAC0016807,01/09/2017 22:16,COMPLETE,02/09/2017 22:09,03/09/2017 22:21,12/09/2017
ZA-00006344,ZAC0018973,01/09/2017 21:32,COMPLETE,02/09/2017 21:57,09/09/2017 01:38,07/09/2017
ZA-00006345,ZAC0016785,01/09/2017 09:52,COMPLETE,01/09/2017 15:33,04/09/2017 18:37,06/09/2017
ZA-00006346,ZAC0023488,01/09/2017 11:59,COMPLETE,02/09/2017 15:45,06/09/2017 14:10,05/09/2017
ZA-00006347,ZAC0002899,01/09/2017 10:44,COMPLETE,01/09/2017 21:12,08/09/2017 13:16,08/09/2017
ZA-00006348,ZAC0004896,01/09/2017 11:20,COMPLETE,03/09/2017 00:15,06/09/2017 12:12,06/09/2017
ZA-00006349,ZAC0016078,01/09/2017 22:24,COMPLETE,05/09/2017 05:08,08/09/2017 22:40,09/09/2017
ZA-00006350,ZAC0003394,01/09/2017 19:07,COMPLETE,02/09/2017 20:34,05/09/2017 00:45,09/09/2017
ZA-00006351,ZAC0022311,01/09/2017 21:44,COMPLETE,03/09/2017 11:22,04/09/2017 22:06,13/09/2017
ZA-00006352,ZAC0021273,01/09/2017 11:51,COMPLETE,04/09/2017 09:14,08/09/2017 22:48,07/09/2017
ZA-00006353,ZAC0010120,01/09/2017 17:00,COMPLETE,02/09/2017 15:17,07/09/2017 03:55,07/09/2017
ZA-00006354,ZAC0015831,01/09/2017 22:46,COMPLETE,03/09/2017 10:34,07/09/2017 03:42,07/09/2017
ZA-00006355,ZAC0016932,01/09/2017 10:39,COMPLETE,02/09/2017 07:30,06/09/2017 13:48,07/09/2017
ZA-00006356,ZAC0022956,01/09/2017 19:50,RETURNED,03/09/2017 17:03,06/09/2017 21:35,07/09/2017
ZA-00006357,ZAC0011891,01/09/2017 15:05,COMPLETE,04/09/2017 06:10,13/09/2017 22:10,09/09/2017
ZA-00006358,ZAC0011015,01/09/2017 14:23,COMPLETE,02/09/2017 21:41,05/09/2017 22:31,06/09/2017
ZA-00006359,ZAC0012488,01/09/2017 11:39,COMPLETE,03/09/2017 20:02,08/09/2017 16:05,07/09/2017
ZA-00006360,ZAC0009171,01/09/2017 10:42,COMPLETE,04/09/2017 06:53,13/09/2017 16:28,07/09/2017
ZA-00006361,ZAC0019435,01/09/2017 22:50,COMPLETE,03/09/2017 06:27,17/09/2017 00:39,07/09/2017
ZA-00006362,ZAC0007012,01/09/2017 11:38,COMPLETE,04/09/2017 15:57,08/09/2017 13:30,08/09/2017
ZA-00006363,ZAC0012337,01/09/2017 13:16,COMPLETE,04/09/2017 13:18,11/09/2017 14:38,14/09/2017
ZA-00006364,ZAC0019623,02/09/2017 10:54,COMPLETE,03/09/2017 20:41,12/09/2017 16:48,13/09/2017
ZA-00006365,ZAC0019673,02/09/2017 15:18,COMPLETE,03/09/2017 03:30,03/09/2017 10:24,13/09/2017
ZA-00006366,ZAC0006355,02/09/2017 10:08,COMPLETE,05/09/2017 17:36,10/09/2017 00:36,12/09/2017
ZA-00006367,ZAC0019717,02/09/2017 14:41,COMPLETE,03/09/2017 09:41,05/09/2017 03:36,07/09/2017
ZA-00006368,ZAC0009860,02/09/2017 08:09,COMPLETE,02/09/2017 19:21,06/09/2017 21:48,07/09/2017
ZA-00006369,ZAC0005822,02/09/2017 19:16,COMPLETE,04/09/2017 21:37,05/09/2017 18:51,07/09/2017
ZA-00006370,ZAC0023385,02/09/2017 15:18,COMPLETE,04/09/2017 07:43,08/09/2017 11:11,08/09/2017
ZA-00006371,ZAC0007154,02/09/2017 21:16,RETURNED,04/09/2017 01:22,07/09/2017 12:13,11/09/2017
ZA-00006372,ZAC0004341,02/09/2017 13:38,COMPLETE,06/09/2017 09:24,13/09/2017 10:37,09/09/2017
ZA-00006373,ZAC0022606,02/09/2017 13:21,COMPLETE,04/09/2017 02:22,07/09/2017 13:17,07/09/2017
ZA-00006374,ZAC0012403,02/09/2017 22:40,COMPLETE,03/09/2017 12:02,05/09/2017 01:34,07/09/2017
ZA-00006375,ZAC0015515,02/09/2017 08:50,COMPLETE,05/09/2017 16:42,10/09/2017 07:03,15/09/2017
ZA-00006376,ZAC0000214,02/09/2017 12:05,COMPLETE,05/09/2017 08:00,05/09/2017 22:44,10/09/2017
ZA-00006377,ZAC0020508,02/09/2017 14:21,COMPLETE,04/09/2017 22:34,12/09/2017 08:53,08/09/2017
ZA-00006378,ZAC0000150,02/09/2017 15:13,COMPLETE,03/09/2017 18:12,06/09/2017 05:57,06/09/2017
ZA-00006379,ZAC0019145,02/09/2017 15:38,COMPLETE,03/09/2017 22:22,06/09/2017 11:04,08/09/2017
ZA-00006380,ZAC0007899,02/09/2017 20:35,COMPLETE,04/09/2017 10:56,09/09/2017 06:14,11/09/2017
ZA-00006381,ZAC0007036,02/09/2017 20:02,COMPLETE,04/09/2017 00:08,08/09/2017 00:22,09/09/2017
ZA-00006382,ZAC0003190,02/09/2017 06:20,COMPLETE,03/09/2017 11:53,10/09/2017 22:41,08/09/2017
ZA-00006383,ZAC0006534,02/09/2017 16:30,DISPATCHED,04/09/2017 21:42,,11/09/2017
ZA-00006384,ZAC0006253,02/09/2017 18:52,COMPLETE,03/09/2017 20:31,09/09/2017 01:31,07/09/2017
ZA-00006385,ZAC0022646,02/09/2017 08:07,COMPLETE,03/09/2017 04:28,11/09/2017 18:25,07/09/2017
ZA-00006386,ZAC0019135,02/09/2017 15:53,COMPLETE,03/09/2017 03:35,05/09/2017 17:44,07/09/2017
ZA-00006387,ZAC0007940,02/09/2017 09:17,COMPLETE,03/09/2017 05:04,10/09/2017 02:45,07/09/2017
ZA-00006388,ZAC0014348,02/09/2017 11:15,COMPLETE,02/09/2017 20:15,05/09/2017 07:44,06/09/2017
ZA-00006389,ZAC0002982,02/09/2017 13:38,COMPLETE,03/09/2017 14:01,11/09/2017 14:37,13/09/2017
ZA-00006390,ZAC0021420,02/09/2017 06:09,COMPLETE,02/09/2017 21:48,08/09/2017 08:15,09/09/2017
ZA-00006391,ZAC0008124,02/09/2017 11:00,COMPLETE,03/09/2017 04:44,04/09/2017 09:19,07/09/2017
ZA-00006392,ZAC0013664,02/09/2017 20:34,COMPLETE,07/09/2017 19:19,10/09/2017 12:29,10/09/2017
ZA-00006393,ZAC0002763,02/09/2017 09:11,COMPLETE,03/09/2017 05:52,04/09/2017 02:59,07/09/2017
ZA-00006394,ZAC0023025,02/09/2017 22:03,COMPLETE,06/09/2017 00:33,10/09/2017 18:38,13/09/2017
ZA-00006395,ZAC0016911,02/09/2017 08:00,COMPLETE,03/09/2017 21:48,05/09/2017 19:32,07/09/2017
ZA-00006396,ZAC0004923,02/09/2017 19:46,COMPLETE,04/09/2017 00:03,12/09/2017 17:07,11/09/2017
ZA-00006397,ZAC0018367,02/09/2017 15:40,COMPLETE,04/09/2017 15:37,07/09/2017 11:58,11/09/2017
ZA-00006398,ZAC0015895,02/09/2017 17:43,COMPLETE,03/09/2017 16:04,12/09/2017 08:31,13/09/2017
ZA-00006399,ZAC0012528,02/09/2017 12:20,COMPLETE,06/09/2017 05:38,09/09/2017 22:25,10/09/2017
ZA-00006400,ZAC0009115,02/09/2017 08:29,COMPLETE,04/09/2017 19:53,07/09/2017 01:41,11/09/2017
ZA-00006401,ZAC0016746,02/09/2017 11:19,COMPLETE,05/09/2017 16:05,14/09/2017 08:37,15/09/2017
ZA-00006402,ZAC0007617,02/09/2017 15:00,COMPLETE,03/09/2017 12:27,07/09/2017 20:03,07/09/2017
ZA-00006403,ZAC0018427,02/09/2017 19:26,CANCELLED,,,
ZA-00006404,ZAC0010506,02/09/2017 14:52,PENDING,,,
ZA-00006405,ZAC0022709,02/09/2017 19:15,RETURNED,05/09/2017 12:54,08/09/2017 03:51,10/09/2017
ZA-00006406,ZAC0014331,02/09/2017 09:26,COMPLETE,03/09/2017 11:01,08/09/2017 15:22,08/09/2017
ZA-00006407,ZAC0023349,02/09/2017 21:47,COMPLETE,04/09/2017 18:11,09/09/2017 00:29,11/09/2017
