ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00001069,ZAC0007623,01/04/2017 16:04,COMPLETE,04/04/2017 07:39,13/04/2017 10:18,08/04/2017
ZA-00001070,ZAC0015759,01/04/2017 06:12,COMPLETE,02/04/2017 16:02,05/04/2017 17:02,06/04/2017
ZA-00001071,ZAC0020085,01/04/2017 06:41,COMPLETE,02/04/2017 12:28,06/04/2017 22:36,05/04/2017
ZA-00001072,ZAC0000095,01/04/2017 19:20,COMPLETE,03/04/2017 13:27,15/04/2017 09:12,08/04/2017
ZA-00001073,ZAC0006183,01/04/2017 16:47,COMPLETE,02/04/2017 12:33,05/04/2017 14:58,06/04/2017
ZA-00001074,ZAC0012367,01/04/2017 17:23,COMPLETE,02/04/2017 22:10,07/04/2017 08:20,06/04/2017
ZA-00001075,ZAC0002237,01/04/2017 15:17,COMPLETE,03/04/2017 16:59,05/04/2017 09:10,08/04/2017
ZA-00001076,ZAC0002113,01/04/2017 08:22,PENDING,,,
ZA-00001077,ZAC0015213,01/04/2017 20:57,COMPLETE,04/04/2017 01:20,14/04/2017 04:02,07/04/2017
ZA-00001078,ZAC0003174,01/04/2017 15:02,DISPATCHED,03/04/2017 08:59,,07/04/2017
ZA-00001079,ZAC0011055,01/04/2017 18:13,COMPLETE,03/04/2017 20:29,08/04/2017 09:36,10/04/2017
ZA-00001080,ZAC0020271,01/04/2017 08:11,CANCELLED,,,
ZA-00001081,ZAC0007392,01/04/2017 20:24,COMPLETE,06/04/2017 01:39,06/04/2017 22:45,16/04/2017
ZA-00001082,ZAC0020936,01/04/2017 13:40,COMPLETE,05/04/2017 14:15,12/04/2017 06:38,09/04/2017
ZA-00001083,ZAC0023904,01/04/2017 13:39,COMPLETE,05/04/2017 09:48,12/04/2017 01:04,09/04/2017
ZA-00001084,ZAC0007503,01/04/2017 11:02,COMPLETE,05/04/2017 13:25,10/04/2017 03:34,08/04/2017
ZA-00001085,ZAC0019957,01/04/2017 06:48,COMPLETE,04/04/2017 07:25,05/04/2017 22:49,09/04/2017
ZA-00001086,ZAC0005089,01/04/2017 11:50,COMPLETE,03/04/2017 23:36,08/04/2017 17:28,08/04/2017
ZA-00001087,ZAC0020082,01/04/2017 15:08,COMPLETE,02/04/2017 20:55,03/04/2017 09:20,05/04/2017
ZA-00001088,ZAC0008506,02/04/2017 06:39,COMPLETE,03/04/2017 01:25,05/04/2017 04:49,08/04/2017
ZA-00001089,ZAC0008592,02/04/2017 11:47,CANCELLED,,,
ZA-00001090,ZAC0022410,02/04/2017 06:05,COMPLETE,03/04/2017 04:50,07/04/2017 01:19,06/04/2017
ZA-00001091,ZAC0008367,02/04/2017 12:14,COMPLETE,03/04/2017 00:10,12/04/2017 01:42,13/04/2017
ZA-00001092,ZAC0003137,02/04/2017 08:02,COMPLETE,07/04/2017 07:05,09/04/2017 01:58,12/04/2017
ZA-00001093,ZAC0015690,02/04/2017 11:00,COMPLETE,03/04/2017 17:07,06/04/2017 03:55,13/04/2017
ZA-00001094,ZAC0020634,02/04/2017 13:28,COMPLETE,04/04/2017 00:10,05/04/2017 19:23,14/04/2017
ZA-00001095,ZAC0016467,02/04/2017 12:14,COMPLETE,03/04/2017 05:27,05/04/2017 00:07,07/04/2017
ZA-00001096,ZAC0013942,02/04/2017 16:04,COMPLETE,04/04/2017 18:10,06/04/2017 18:36,07/04/2017
ZA-00001097,ZAC0000809,02/04/2017 08:32,COMPLETE,07/04/2017 17:44,10/04/2017 06:44,12/04/2017
ZA-00001098,ZAC0006831,02/04/2017 11:04,COMPLETE,06/04/2017 05:43,07/04/2017 21:05,09/04/2017
ZA-00001099,ZAC0004507,02/04/2017 19:00,COMPLETE,04/04/2017 14:34,06/04/2017 22:42,14/04/2017
ZA-00001100,ZAC0007358,02/04/2017 15:50,COMPLETE,04/04/2017 10:32,06/04/2017 18:55,09/04/2017
ZA-00001101,ZAC0020233,02/04/2017 09:30,COMPLETE,02/04/2017 15:00,05/04/2017 07:03,05/04/2017
ZA-00001102,ZAC0011908,02/04/2017 19:44,COMPLETE,04/04/2017 01:25,09/04/2017 02:29,08/04/2017
