ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00012979,ZAC0019657,01/01/2018 11:01,COMPLETE,04/01/2018 21:37,10/01/2018 11:34,11/01/2018,
ZA-00012980,ZAC0007724,01/01/2018 17:43,COMPLETE,03/01/2018 21:10,04/01/2018 12:50,07/01/2018,FLASH25
ZA-00012981,ZAC0006424,01/01/2018 10:39,COMPLETE,02/01/2018 09:34,06/01/2018 04:16,06/01/2018,
ZA-00012982,ZAC0021614,01/01/2018 06:50,COMPLETE,02/01/2018 18:51,03/01/2018 16:36,09/01/2018,
ZA-00012983,ZAC0014018,01/01/2018 11:19,COMPLETE,01/01/2018 14:03,03/01/2018 02:42,11/01/2018,
ZA-00012984,ZAC0020169,01/01/2018 07:53,COMPLETE,01/01/2018 15:38,08/01/2018 06:17,08/01/2018,
ZA-00012985,ZAC0016060,01/01/2018 22:13,COMPLETE,03/01/2018 14:59,08/01/2018 14:26,08/01/2018,
ZA-00012986,ZAC0009140,01/01/2018 10:04,COMPLETE,01/01/2018 23:33,05/01/2018 23:27,04/01/2018,
ZA-00012987,ZAC0007249,01/01/2018 14:04,COMPLETE,02/01/2018 16:34,14/01/2018 00:11,09/01/2018,
ZA-00012988,ZAC0008300,01/01/2018 21:07,COMPLETE,02/01/2018 05:13,06/01/2018 05:31,05/01/2018,FLASH25
ZA-00012989,ZAC0019979,01/01/2018 22:46,COMPLETE,02/01/2018 10:19,04/01/2018 21:28,07/01/2018,
ZA-00012990,ZAC0021408,01/01/2018 12:46,COMPLETE,02/01/2018 13:13,12/01/2018 19:06,06/01/2018,
ZA-00012991,ZAC0018031,01/01/2018 22:14,DISPATCHED,03/01/2018 13:58,,07/01/2018,
ZA-00012992,ZAC0022550,01/01/2018 10:58,COMPLETE,02/01/2018 22:30,06/01/2018 07:17,06/01/2018,
ZA-00012993,ZAC0009536,01/01/2018 14:50,COMPLETE,02/01/2018 11:30,07/01/2018 00:32,12/01/2018,
ZA-00012994,ZAC0012326,01/01/2018 07:02,COMPLETE,03/01/2018 06:13,14/01/2018 17:18,10/01/2018,
ZA-00012995,ZAC0023202,01/01/2018 21:27,COMPLETE,02/01/2018 14:23,09/01/2018 13:30,06/01/2018,
ZA-00012996,ZAC0011190,01/01/2018 20:56,COMPLETE,04/01/2018 05:29,08/01/2018 18:47,08/01/2018,
ZA-00012997,ZAC0001814,01/01/2018 22:04,COMPLETE,03/01/2018 03:07,07/01/2018 14:26,07/01/2018,
ZA-00012998,ZAC0019275,01/01/2018 22:09,COMPLETE,07/01/2018 19:32,21/01/2018 12:37,10/01/2018,FREESHIP
ZA-00012999,ZAC0017483,01/01/2018 11:44,COMPLETE,03/01/2018 22:32,07/01/2018 19:13,08/01/2018,
ZA-00013000,ZAC0011107,01/01/2018 14:00,COMPLETE,01/01/2018 23:17,02/01/2018 13:29,06/01/2018,
ZA-00013001,ZAC0003669,01/01/2018 13:25,COMPLETE,02/01/2018 17:26,04/01/2018 00:21,05/01/2018,
ZA-00013002,ZAC0002855,01/01/2018 19:46,COMPLETE,05/01/2018 15:47,06/01/2018 21:30,10/01/2018,
ZA-00013003,ZAC0006400,01/01/2018 16:28,COMPLETE,07/01/2018 04:28,15/01/2018 12:30,12/01/2018,
ZA-00013004,ZAC0009943,01/01/2018 13:46,COMPLETE,03/01/2018 00:42,07/01/2018 05:28,07/01/2018,
ZA-00013005,ZAC0007725,01/01/2018 09:15,COMPLETE,02/01/2018 12:34,06/01/2018 21:54,06/01/2018,
ZA-00013006,ZAC0001500,01/01/2018 06:20,COMPLETE,03/01/2018 07:03,11/01/2018 18:29,10/01/2018,
ZA-00013007,ZAC0003586,01/01/2018 21:09,COMPLETE,03/01/2018 18:43,07/01/2018 17:24,07/01/2018,WELCOME10
ZA-00013008,ZAC0018740,01/01/2018 08:22,COMPLETE,02/01/2018 08:10,07/01/2018 10:48,06/01/2018,
ZA-00013009,ZAC0017917,01/01/2018 16:41,COMPLETE,03/01/2018 04:33,08/01/2018 20:14,08/01/2018,
ZA-00013010,ZAC0022094,01/01/2018 12:37,COMPLETE,05/01/2018 22:43,09/01/2018 20:07,12/01/2018,
ZA-00013011,ZAC0015399,01/01/2018 19:12,COMPLETE,06/01/2018 03:18,13/01/2018 11:16,10/01/2018,FREESHIP
ZA-00013012,ZAC0000860,01/01/2018 11:04,COMPLETE,02/01/2018 15:43,08/01/2018 02:37,06/01/2018,
ZA-00013013,ZAC0003516,01/01/2018 15:30,COMPLETE,06/01/2018 05:06,10/01/2018 22:41,13/01/2018,
ZA-00013014,ZAC0008342,01/01/2018 11:02,COMPLETE,02/01/2018 17:02,03/01/2018 20:32,06/01/2018,
ZA-00013015,ZAC0008835,01/01/2018 10:24,COMPLETE,03/01/2018 06:19,04/01/2018 19:58,10/01/2018,WELCOME10
ZA-00013016,ZAC0003899,01/01/2018 16:55,COMPLETE,03/01/2018 22:17,05/01/2018 08:51,08/01/2018,
ZA-00013017,ZAC0008031,01/01/2018 18:51,COMPLETE,04/01/2018 09:08,07/01/2018 03:07,11/01/2018,
ZA-00013018,ZAC0007490,01/01/2018 06:31,COMPLETE,05/01/2018 00:49,08/01/2018 00:46,12/01/2018,
ZA-00013019,ZAC0021876,01/01/2018 13:37,COMPLETE,03/01/2018 18:24,08/01/2018 15:19,08/01/2018,
ZA-00013020,ZAC0012327,01/01/2018 20:47,COMPLETE,03/01/2018 10:38,09/01/2018 10:11,08/01/2018,
ZA-00013021,ZAC0002154,01/01/2018 08:36,COMPLETE,02/01/2018 06:45,08/01/2018 04:39,06/01/2018,
ZA-00013022,ZAC0019597,01/01/2018 08:23,COMPLETE,02/01/2018 11:42,10/01/2018 02:55,06/01/2018,
ZA-00013023,ZAC0003893,01/01/2018 15:52,COMPLETE,05/01/2018 16:12,11/01/2018 19:36,09/01/2018,WELCOME10
ZA-00013024,ZAC0014619,01/01/2018 06:35,COMPLETE,01/01/2018 18:43,03/01/2018 15:25,11/01/2018,FLASH25
ZA-00013025,ZAC0012392,01/01/2018 15:30,COMPLETE,04/01/2018 15:12,08/01/2018 09:33,09/01/2018,
ZA-00013026,ZAC0001364,01/01/2018 11:35,COMPLETE,01/01/2018 22:40,08/01/2018 02:01,08/01/2018,
ZA-00013027,ZAC0011602,02/01/2018 06:24,COMPLETE,06/01/2018 12:53,08/01/2018 22:10,11/01/2018,
ZA-00013028,ZAC0021188,02/01/2018 08:26,COMPLETE,05/01/2018 01:56,09/01/2018 17:36,09/01/2018,
ZA-00013029,ZAC0001784,02/01/2018 14:24,COMPLETE,04/01/2018 11:00,06/01/2018 15:21,11/01/2018,LOYAL5
ZA-00013030,ZAC0020900,02/01/2018 08:54,COMPLETE,06/01/2018 06:34,12/01/2018 02:47,09/01/2018,
ZA-00013031,ZAC0007622,02/01/2018 22:34,COMPLETE,06/01/2018 01:46,09/01/2018 05:18,11/01/2018,
ZA-00013032,ZAC0014012,02/01/2018 22:41,COMPLETE,03/01/2018 15:29,04/01/2018 19:13,06/01/2018,
ZA-00013033,ZAC0005911,02/01/2018 18:41,COMPLETE,05/01/2018 08:12,07/01/2018 05:24,10/01/2018,
ZA-00013034,ZAC0010087,02/01/2018 21:58,COMPLETE,07/01/2018 21:54,10/01/2018 09:50,14/01/2018,
ZA-00013035,ZAC0003090,02/01/2018 17:34,COMPLETE,04/01/2018 06:47,07/01/2018 07:04,11/01/2018,
ZA-00013036,ZAC0015524,02/01/2018 18:12,DISPATCHED,05/01/2018 11:10,,09/01/2018,
ZA-00013037,ZAC0011758,02/01/2018 10:39,COMPLETE,04/01/2018 21:10,10/01/2018 23:18,07/01/2018,
ZA-00013038,ZAC0005685,02/01/2018 17:36,COMPLETE,04/01/2018 18:14,07/01/2018 21:14,08/01/2018,
ZA-00013039,ZAC0006691,02/01/2018 12:47,COMPLETE,05/01/2018 09:36,08/01/2018 20:41,12/01/2018,
ZA-00013040,ZAC0022216,02/01/2018 08:46,COMPLETE,03/01/2018 22:09,05/01/2018 15:30,08/01/2018,FLASH25
ZA-00013041,ZAC0002762,02/01/2018 17:39,COMPLETE,03/01/2018 01:26,08/01/2018 12:57,10/01/2018,
ZA-00013042,ZAC0004250,02/01/2018 18:06,COMPLETE,07/01/2018 17:53,16/01/2018 13:06,12/01/2018,
ZA-00013043,ZAC0007036,02/01/2018 09:25,COMPLETE,08/01/2018 13:53,10/01/2018 16:47,11/01/2018,
ZA-00013044,ZAC0008044,02/01/2018 15:49,COMPLETE,07/01/2018 03:55,09/01/2018 03:19,12/01/2018,
ZA-00013045,ZAC0008954,02/01/2018 09:43,COMPLETE,05/01/2018 11:49,09/01/2018 08:10,10/01/2018,
ZA-00013046,ZAC0007751,02/01/2018 17:46,COMPLETE,04/01/2018 01:23,13/01/2018 22:13,09/01/2018,
