ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00000150,ZAC0008980,01/02/2017 10:58,COMPLETE,02/02/2017 06:54,05/02/2017 00:19,09/02/2017
ZA-00000151,ZAC0011220,01/02/2017 10:31,COMPLETE,02/02/2017 06:23,03/02/2017 05:27,06/02/2017
ZA-00000152,ZAC0016393,01/02/2017 12:26,DISPATCHED,04/02/2017 00:35,,08/02/2017
ZA-00000153,ZAC0010284,01/02/2017 16:25,COMPLETE,03/02/2017 13:08,06/02/2017 15:01,08/02/2017
ZA-00000154,ZAC0008206,01/02/2017 07:20,COMPLETE,03/02/2017 02:24,07/02/2017 20:45,07/02/2017
ZA-00000155,ZAC0000576,01/02/2017 20:10,COMPLETE,02/02/2017 09:23,05/02/2017 20:08,05/02/2017
ZA-00000156,ZAC0016479,01/02/2017 22:27,COMPLETE,08/02/2017 23:07,13/02/2017 18:39,13/02/2017
ZA-00000157,ZAC0018913,01/02/2017 20:55,PENDING,,,
ZA-00000158,ZAC0006847,02/02/2017 11:57,COMPLETE,07/02/2017 14:41,10/02/2017 10:37,10/02/2017
ZA-00000159,ZAC0016809,02/02/2017 21:03,COMPLETE,04/02/2017 04:13,08/02/2017 21:57,11/02/2017
ZA-00000160,ZAC0010981,02/02/2017 14:59,COMPLETE,04/02/2017 02:30,09/02/2017 15:11,11/02/2017
ZA-00000161,ZAC0017936,02/02/2017 11:45,COMPLETE,04/02/2017 02:34,06/02/2017 12:22,09/02/2017
ZA-00000162,ZAC0010273,02/02/2017 06:38,COMPLETE,03/02/2017 17:25,06/02/2017 07:20,10/02/2017
ZA-00000163,ZAC0011514,02/02/2017 14:20,COMPLETE,06/02/2017 08:18,09/02/2017 20:36,10/02/2017
ZA-00000164,ZAC0007939,02/02/2017 16:03,DISPATCHED,03/02/2017 01:14,,07/02/2017
ZA-00000165,ZAC0004024,02/02/2017 21:01,COMPLETE,03/02/2017 12:06,07/02/2017 01:56,13/02/2017
ZA-00000166,ZAC0014300,02/02/2017 07:22,COMPLETE,05/02/2017 09:58,08/02/2017 20:58,15/02/2017
ZA-00000167,ZAC0015049,02/02/2017 16:39,COMPLETE,04/02/2017 02:26,05/02/2017 07:49,07/02/2017
ZA-00000168,ZAC0020479,03/02/2017 16:18,COMPLETE,04/02/2017 17:21,12/02/2017 23:42,11/02/2017
ZA-00000169,ZAC0019477,03/02/2017 22:43,COMPLETE,05/02/2017 18:44,24/02/2017 12:47,12/02/2017
ZA-00000170,ZAC0008105,03/02/2017 22:43,CANCELLED,,,
ZA-00000171,ZAC0018832,03/02/2017 11:20,COMPLETE,06/02/2017 19:28,11/02/2017 14:22,09/02/2017
ZA-00000172,ZAC0008619,03/02/2017 09:07,COMPLETE,04/02/2017 16:40,09/02/2017 17:54,07/02/2017
ZA-00000173,ZAC0004787,03/02/2017 18:36,COMPLETE,04/02/2017 04:33,10/02/2017 03:24,07/02/2017
ZA-00000174,ZAC0009449,03/02/2017 09:59,COMPLETE,05/02/2017 17:13,10/02/2017 21:21,09/02/2017
ZA-00000175,ZAC0014801,03/02/2017 11:04,COMPLETE,06/02/2017 04:56,09/02/2017 05:04,09/02/2017
ZA-00000176,ZAC0018408,03/02/2017 16:39,COMPLETE,08/02/2017 09:10,13/02/2017 20:22,12/02/2017
ZA-00000177,ZAC0021771,03/02/2017 18:14,CANCELLED,,,
ZA-00000178,ZAC0010692,04/02/2017 20:53,COMPLETE,06/02/2017 21:17,13/02/2017 05:22,11/02/2017
ZA-00000179,ZAC0003649,04/02/2017 11:43,COMPLETE,06/02/2017 01:40,14/02/2017 09:43,10/02/2017
ZA-00000180,ZAC0002158,04/02/2017 12:03,DISPATCHED,04/02/2017 17:26,,07/02/2017
