ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00023293,ZAC0007891,01/06/2018 12:23,COMPLETE,01/06/2018 18:58,04/06/2018 02:36,04/06/2018,
ZA-00023294,ZAC0007537,01/06/2018 08:32,COMPLETE,02/06/2018 07:40,06/06/2018 23:21,07/06/2018,
ZA-00023295,ZAC0004849,01/06/2018 09:33,COMPLETE,04/06/2018 18:46,07/06/2018 21:24,08/06/2018,
ZA-00023296,ZAC0023450,01/06/2018 06:40,COMPLETE,02/06/2018 03:46,09/06/2018 07:54,09/06/2018,
ZA-00023297,ZAC0008805,01/06/2018 11:52,COMPLETE,04/06/2018 18:04,08/06/2018 15:33,07/06/2018,
ZA-00023298,ZAC0008085,01/06/2018 22:37,COMPLETE,04/06/2018 01:00,09/06/2018 21:04,07/06/2018,
ZA-00023299,ZAC0003953,01/06/2018 07:43,CANCELLED,,,,
ZA-00023300,ZAC0014113,01/06/2018 21:56,COMPLETE,06/06/2018 18:23,14/06/2018 03:55,13/06/2018,
ZA-00023301,ZAC0021367,01/06/2018 17:50,COMPLETE,02/06/2018 08:47,04/06/2018 11:14,05/06/2018,
ZA-00023302,ZAC0014755,01/06/2018 20:18,COMPLETE,04/06/2018 15:02,05/06/2018 14:01,09/06/2018,
ZA-00023303,ZAC0001349,01/06/2018 07:59,COMPLETE,02/06/2018 21:07,04/06/2018 12:53,05/06/2018,
ZA-00023304,ZAC0013610,01/06/2018 20:03,COMPLETE,03/06/2018 19:03,11/06/2018 14:59,10/06/2018,
ZA-00023305,ZAC0001669,01/06/2018 18:17,COMPLETE,07/06/2018 10:13,08/06/2018 15:12,17/06/2018,
ZA-00023306,ZAC0022769,01/06/2018 08:58,COMPLETE,03/06/2018 08:52,16/06/2018 19:05,07/06/2018,
ZA-00023307,ZAC0015843,01/06/2018 09:20,COMPLETE,02/06/2018 17:18,06/06/2018 11:45,05/06/2018,
ZA-00023308,ZAC0023882,01/06/2018 08:11,COMPLETE,02/06/2018 16:44,05/06/2018 12:33,06/06/2018,
ZA-00023309,ZAC0015344,01/06/2018 21:25,CANCELLED,,,,
