ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00002727,ZAC0022820,01/06/2017 20:09,COMPLETE,03/06/2017 00:36,04/06/2017 19:37,10/06/2017
ZA-00002728,ZAC0006525,01/06/2017 09:13,COMPLETE,06/06/2017 05:17,07/06/2017 11:24,13/06/2017
ZA-00002729,ZAC0010139,01/06/2017 13:54,COMPLETE,02/06/2017 23:13,07/06/2017 08:07,06/06/2017
ZA-00002730,ZAC0010585,01/06/2017 08:59,COMPLETE,03/06/2017 17:40,10/06/2017 14:03,08/06/2017
ZA-00002731,ZAC0007141,01/06/2017 06:43,COMPLETE,01/06/2017 20:03,05/06/2017 19:11,06/06/2017
ZA-00002732,ZAC0004616,01/06/2017 19:54,COMPLETE,02/06/2017 23:43,14/06/2017 10:01,07/06/2017
ZA-00002733,ZAC0020527,01/06/2017 06:22,COMPLETE,02/06/2017 16:40,05/06/2017 11:11,05/06/2017
ZA-00002734,ZAC0002026,01/06/2017 11:42,COMPLETE,06/06/2017 12:47,13/06/2017 09:19,10/06/2017
ZA-00002735,ZAC0000648,01/06/2017 07:24,COMPLETE,02/06/2017 18:25,06/06/2017 02:48,06/06/2017
ZA-00002736,ZAC0021486,01/06/2017 09:36,RETURNED,03/06/2017 14:11,04/06/2017 14:04,08/06/2017
ZA-00002737,ZAC0005412,01/06/2017 06:40,COMPLETE,02/06/2017 11:48,09/06/2017 14:12,07/06/2017
ZA-00002738,ZAC0020339,01/06/2017 20:24,COMPLETE,03/06/2017 15:22,08/06/2017 08:14,06/06/2017
ZA-00002739,ZAC0021586,01/06/2017 17:14,COMPLETE,02/06/2017 04:05,10/06/2017 01:53,05/06/2017
ZA-00002740,ZAC0023906,01/06/2017 21:34,COMPLETE,03/06/2017 05:21,05/06/2017 22:14,07/06/2017
ZA-00002741,ZAC0019697,01/06/2017 16:34,COMPLETE,02/06/2017 08:52,04/06/2017 06:24,06/06/2017
ZA-00002742,ZAC0017348,01/06/2017 14:16,COMPLETE,02/06/2017 09:04,02/06/2017 18:16,05/06/2017
ZA-00002743,ZAC0020658,01/06/2017 07:30,COMPLETE,02/06/2017 14:49,03/06/2017 16:04,06/06/2017
ZA-00002744,ZAC0017971,01/06/2017 13:18,COMPLETE,07/06/2017 00:41,15/06/2017 16:52,14/06/2017
ZA-00002745,ZAC0003942,01/06/2017 20:51,COMPLETE,05/06/2017 21:24,10/06/2017 05:39,09/06/2017
ZA-00002746,ZAC0016781,01/06/2017 18:20,COMPLETE,04/06/2017 10:07,10/06/2017 18:28,08/06/2017
ZA-00002747,ZAC0021368,02/06/2017 14:17,COMPLETE,07/06/2017 11:28,13/06/2017 17:35,10/06/2017
ZA-00002748,ZAC0013837,02/06/2017 18:39,COMPLETE,05/06/2017 04:48,13/06/2017 07:15,10/06/2017
ZA-00002749,ZAC0016892,02/06/2017 08:53,COMPLETE,04/06/2017 16:17,10/06/2017 00:46,09/06/2017
ZA-00002750,ZAC0001081,02/06/2017 16:55,COMPLETE,06/06/2017 10:16,08/06/2017 20:01,11/06/2017
ZA-00002751,ZAC0007763,02/06/2017 21:08,COMPLETE,04/06/2017 05:51,09/06/2017 00:34,11/06/2017
ZA-00002752,ZAC0017464,02/06/2017 22:20,COMPLETE,03/06/2017 23:38,05/06/2017 06:59,08/06/2017
ZA-00002753,ZAC0022321,02/06/2017 14:24,COMPLETE,09/06/2017 16:24,11/06/2017 03:25,14/06/2017
ZA-00002754,ZAC0015410,02/06/2017 17:08,COMPLETE,03/06/2017 05:40,09/06/2017 22:53,07/06/2017
ZA-00002755,ZAC0022773,02/06/2017 07:56,COMPLETE,05/06/2017 02:48,22/06/2017 00:46,10/06/2017
ZA-00002756,ZAC0022288,02/06/2017 19:01,COMPLETE,05/06/2017 05:35,06/06/2017 19:59,09/06/2017
ZA-00002757,ZAC0001880,02/06/2017 18:28,COMPLETE,04/06/2017 13:35,10/06/2017 16:38,09/06/2017
ZA-00002758,ZAC0008580,02/06/2017 19:24,COMPLETE,03/06/2017 22:12,04/06/2017 17:39,06/06/2017
ZA-00002759,ZAC0011072,02/06/2017 17:03,COMPLETE,08/06/2017 06:19,13/06/2017 00:38,11/06/2017
ZA-00002760,ZAC0010173,02/06/2017 18:05,COMPLETE,06/06/2017 02:10,16/06/2017 11:35,11/06/2017
ZA-00002761,ZAC0019409,02/06/2017 22:26,COMPLETE,07/06/2017 02:42,12/06/2017 05:07,11/06/2017
ZA-00002762,ZAC0015712,02/06/2017 20:47,COMPLETE,03/06/2017 19:52,07/06/2017 16:55,07/06/2017
ZA-00002763,ZAC0004440,02/06/2017 07:11,COMPLETE,07/06/2017 17:29,16/06/2017 01:04,12/06/2017
ZA-00002764,ZAC0007242,02/06/2017 19:50,COMPLETE,03/06/2017 01:03,08/06/2017 12:23,07/06/2017
ZA-00002765,ZAC0003551,02/06/2017 08:23,COMPLETE,03/06/2017 21:23,08/06/2017 12:45,06/06/2017
ZA-00002766,ZAC0022615,02/06/2017 12:27,COMPLETE,04/06/2017 04:56,09/06/2017 01:14,08/06/2017
ZA-00002767,ZAC0009749,02/06/2017 08:06,RETURNED,04/06/2017 20:58,12/06/2017 04:23,08/06/2017
ZA-00002768,ZAC0021759,02/06/2017 17:50,COMPLETE,03/06/2017 05:08,08/06/2017 04:48,10/06/2017
ZA-00002769,ZAC0022527,02/06/2017 19:46,COMPLETE,06/06/2017 19:05,11/06/2017 18:41,11/06/2017
ZA-00002770,ZAC0009600,02/06/2017 07:58,COMPLETE,03/06/2017 05:04,05/06/2017 20:40,10/06/2017
ZA-00002771,ZAC0008123,02/06/2017 19:20,COMPLETE,08/06/2017 19:18,16/06/2017 12:15,13/06/2017
ZA-00002772,ZAC0001737,02/06/2017 20:41,RETURNED,04/06/2017 01:52,10/06/2017 01:31,08/06/2017
ZA-00002773,ZAC0014936,02/06/2017 08:07,COMPLETE,03/06/2017 03:57,14/06/2017 20:31,08/06/2017
ZA-00002774,ZAC0001618,02/06/2017 13:26,COMPLETE,03/06/2017 15:14,07/06/2017 02:00,10/06/2017
ZA-00002775,ZAC0021521,02/06/2017 06:25,COMPLETE,03/06/2017 12:06,05/06/2017 08:54,07/06/2017
ZA-00002776,ZAC0013065,02/06/2017 18:45,COMPLETE,04/06/2017 04:03,07/06/2017 07:26,08/06/2017
ZA-00002777,ZAC0003379,02/06/2017 12:06,COMPLETE,03/06/2017 17:58,10/06/2017 07:51,10/06/2017
ZA-00002778,ZAC0002916,02/06/2017 08:31,COMPLETE,03/06/2017 23:30,12/06/2017 11:21,07/06/2017
ZA-00002779,ZAC0001408,03/06/2017 17:15,COMPLETE,07/06/2017 00:06,12/06/2017 05:26,17/06/2017
ZA-00002780,ZAC0002676,03/06/2017 14:22,COMPLETE,05/06/2017 08:00,13/06/2017 08:09,08/06/2017
ZA-00002781,ZAC0007422,03/06/2017 07:54,COMPLETE,04/06/2017 01:41,07/06/2017 08:38,08/06/2017
ZA-00002782,ZAC0005233,03/06/2017 10:29,COMPLETE,06/06/2017 04:03,08/06/2017 03:56,10/06/2017
ZA-00002783,ZAC0022691,03/06/2017 11:56,COMPLETE,04/06/2017 23:18,14/06/2017 08:49,14/06/2017
ZA-00002784,ZAC0014743,03/06/2017 10:07,COMPLETE,05/06/2017 10:45,07/06/2017 04:26,10/06/2017
ZA-00002785,ZAC0000721,03/06/2017 15:10,COMPLETE,04/06/2017 11:51,07/06/2017 19:56,08/06/2017
ZA-00002786,ZAC0015276,03/06/2017 22:30,COMPLETE,05/06/2017 12:31,09/06/2017 12:48,12/06/2017
ZA-00002787,ZAC0011268,03/06/2017 14:33,COMPLETE,04/06/2017 01:40,08/06/2017 04:07,07/06/2017
ZA-00002788,ZAC0012662,03/06/2017 20:25,COMPLETE,05/06/2017 09:43,06/06/2017 10:37,10/06/2017
ZA-00002789,ZAC0012455,03/06/2017 07:14,COMPLETE,10/06/2017 07:33,16/06/2017 10:27,13/06/2017
ZA-00002790,ZAC0019163,03/06/2017 14:57,COMPLETE,04/06/2017 05:55,05/06/2017 21:48,09/06/2017
ZA-00002791,ZAC0000191,03/06/2017 19:06,COMPLETE,05/06/2017 04:31,06/06/2017 17:45,12/06/2017
ZA-00002792,ZAC0008876,03/06/2017 13:49,COMPLETE,04/06/2017 09:11,08/06/2017 13:11,08/06/2017
