ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00009402,ZAC0018673,01/11/2017 14:24,COMPLETE,03/11/2017 01:08,07/11/2017 19:32,08/11/2017,
ZA-00009403,ZAC0013011,01/11/2017 14:31,COMPLETE,04/11/2017 10:58,07/11/2017 12:25,07/11/2017,LOYAL5
ZA-00009404,ZAC0019512,01/11/2017 08:21,COMPLETE,04/11/2017 21:02,13/11/2017 01:10,14/11/2017,
ZA-00009405,ZAC0010521,01/11/2017 12:44,COMPLETE,03/11/2017 15:24,08/11/2017 23:55,07/11/2017,
ZA-00009406,ZAC0014646,01/11/2017 08:56,COMPLETE,04/11/2017 16:20,07/11/2017 21:02,09/11/2017,
ZA-00009407,ZAC0022784,01/11/2017 15:14,COMPLETE,05/11/2017 18:29,16/11/2017 12:36,12/11/2017,
ZA-00009408,ZAC0002950,01/11/2017 20:02,COMPLETE,04/11/2017 10:06,08/11/2017 17:42,08/11/2017,BULK20
ZA-00009409,ZAC0016012,01/11/2017 12:25,COMPLETE,02/11/2017 18:00,07/11/2017 04:12,05/11/2017,
ZA-00009410,ZAC0021431,01/11/2017 16:18,COMPLETE,06/11/2017 05:00,12/11/2017 13:07,10/11/2017,
ZA-00009411,ZAC0011597,01/11/2017 08:53,COMPLETE,05/11/2017 10:51,07/11/2017 11:38,09/11/2017,
ZA-00009412,ZAC0007396,01/11/2017 08:37,COMPLETE,03/11/2017 15:31,04/11/2017 13:32,06/11/2017,
ZA-00009413,ZAC0010670,01/11/2017 18:49,COMPLETE,02/11/2017 17:02,04/11/2017 01:11,05/11/2017,FREESHIP
ZA-00009414,ZAC0010911,01/11/2017 21:52,COMPLETE,04/11/2017 02:44,08/11/2017 18:28,07/11/2017,
ZA-00009415,ZAC0008488,01/11/2017 11:43,COMPLETE,03/11/2017 10:28,13/11/2017 15:06,07/11/2017,
ZA-00009416,ZAC0008099,01/11/2017 16:53,COMPLETE,03/11/2017 04:22,05/11/2017 09:52,07/11/2017,
ZA-00009417,ZAC0022968,01/11/2017 12:55,COMPLETE,02/11/2017 23:43,08/11/2017 06:09,05/11/2017,
ZA-00009418,ZAC0016223,01/11/2017 10:40,COMPLETE,03/11/2017 06:33,19/11/2017 12:41,10/11/2017,
ZA-00009419,ZAC0010038,01/11/2017 09:09,COMPLETE,01/11/2017 22:36,10/11/2017 02:46,05/11/2017,
ZA-00009420,ZAC0020380,01/11/2017 14:49,CANCELLED,,,,
ZA-00009421,ZAC0011119,01/11/2017 20:55,COMPLETE,04/11/2017 18:45,07/11/2017 19:38,11/11/2017,FLASH25
ZA-00009422,ZAC0023952,01/11/2017 20:02,COMPLETE,02/11/2017 07:49,03/11/2017 19:21,06/11/2017,FREESHIP
ZA-00009423,ZAC0023957,01/11/2017 22:57,COMPLETE,03/11/2017 01:37,07/11/2017 08:08,06/11/2017,FREESHIP
ZA-00009424,ZAC0004288,01/11/2017 09:27,COMPLETE,02/11/2017 21:56,08/11/2017 19:50,07/11/2017,
ZA-00009425,ZAC0010475,01/11/2017 22:09,COMPLETE,02/11/2017 14:25,08/11/2017 04:39,06/11/2017,
ZA-00009426,ZAC0018425,01/11/2017 19:08,COMPLETE,03/11/2017 13:29,06/11/2017 20:12,06/11/2017,
ZA-00009427,ZAC0011673,01/11/2017 08:54,COMPLETE,03/11/2017 14:40,06/11/2017 02:01,07/11/2017,
ZA-00009428,ZAC0020534,01/11/2017 14:46,RETURNED,08/11/2017 06:39,10/11/2017 12:05,12/11/2017,WELCOME10
ZA-00009429,ZAC0017394,01/11/2017 20:19,COMPLETE,05/11/2017 12:55,09/11/2017 05:14,10/11/2017,LOYAL5
ZA-00009430,ZAC0009961,01/11/2017 21:02,COMPLETE,02/11/2017 23:48,05/11/2017 09:40,09/11/2017,
ZA-00009431,ZAC0023052,01/11/2017 17:29,COMPLETE,05/11/2017 06:57,10/11/2017 02:53,08/11/2017,WINTER15
ZA-00009432,ZAC0009897,01/11/2017 19:19,COMPLETE,04/11/2017 03:26,08/11/2017 03:37,09/11/2017,
ZA-00009433,ZAC0014239,01/11/2017 13:23,COMPLETE,03/11/2017 20:37,11/11/2017 19:12,08/11/2017,
