ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00000001,ZAC0010987,02/01/2017 11:09,PENDING,,,
ZA-00000002,ZAC0018452,04/01/2017 13:38,COMPLETE,06/01/2017 03:17,08/01/2017 12:53,11/01/2017
ZA-00000003,ZAC0008285,04/01/2017 09:49,CANCELLED,,,
ZA-00000004,ZAC0008342,05/01/2017 17:09,COMPLETE,07/01/2017 11:02,11/01/2017 03:39,14/01/2017
ZA-00000005,ZAC0021734,05/01/2017 17:32,COMPLETE,06/01/2017 22:42,15/01/2017 23:25,16/01/2017
ZA-00000006,ZAC0009657,05/01/2017 17:12,COMPLETE,07/01/2017 17:33,10/01/2017 21:57,10/01/2017
ZA-00000007,ZAC0008711,05/01/2017 19:15,COMPLETE,07/01/2017 05:40,11/01/2017 11:59,17/01/2017
ZA-00000008,ZAC0023919,06/01/2017 19:42,COMPLETE,07/01/2017 14:20,10/01/2017 01:00,14/01/2017
ZA-00000009,ZAC0018868,07/01/2017 11:27,COMPLETE,08/01/2017 13:00,10/01/2017 09:01,15/01/2017
ZA-00000010,ZAC0014681,07/01/2017 09:34,COMPLETE,10/01/2017 02:40,13/01/2017 16:34,15/01/2017
ZA-00000011,ZAC0003045,07/01/2017 06:29,COMPLETE,07/01/2017 22:48,10/01/2017 16:03,12/01/2017
ZA-00000012,ZAC0002008,07/01/2017 07:37,COMPLETE,08/01/2017 07:04,12/01/2017 11:52,13/01/2017
ZA-00000013,ZAC0000202,07/01/2017 08:04,COMPLETE,12/01/2017 08:28,23/01/2017 13:31,16/01/2017
ZA-00000014,ZAC0021903,08/01/2017 12:01,COMPLETE,11/01/2017 06:09,13/01/2017 18:54,16/01/2017
ZA-00000015,ZAC0010424,08/01/2017 19:28,COMPLETE,09/01/2017 20:27,15/01/2017 09:03,16/01/2017
ZA-00000016,ZAC0004128,08/01/2017 08:08,COMPLETE,09/01/2017 00:38,12/01/2017 20:43,19/01/2017
ZA-00000017,ZAC0007147,08/01/2017 16:58,COMPLETE,13/01/2017 16:36,25/01/2017 17:40,23/01/2017
ZA-00000018,ZAC0006419,08/01/2017 07:57,COMPLETE,09/01/2017 08:39,10/01/2017 21:45,19/01/2017
ZA-00000019,ZAC0019143,09/01/2017 21:28,COMPLETE,11/01/2017 03:07,21/01/2017 06:46,16/01/2017
ZA-00000020,ZAC0003128,09/01/2017 12:24,COMPLETE,12/01/2017 19:52,14/01/2017 06:45,17/01/2017
ZA-00000021,ZAC0011864,10/01/2017 06:33,COMPLETE,12/01/2017 23:03,16/01/2017 10:07,17/01/2017
ZA-00000022,ZAC0000420,10/01/2017 10:14,PENDING,,,
ZA-00000023,ZAC0014097,11/01/2017 16:25,COMPLETE,12/01/2017 06:27,19/01/2017 13:29,15/01/2017
ZA-00000024,ZAC0007820,11/01/2017 15:45,COMPLETE,12/01/2017 02:51,14/01/2017 08:22,17/01/2017
ZA-00000025,ZAC0007921,11/01/2017 10:26,COMPLETE,14/01/2017 02:44,18/01/2017 19:05,18/01/2017
ZA-00000026,ZAC0014146,12/01/2017 14:56,COMPLETE,13/01/2017 10:51,17/01/2017 05:44,20/01/2017
ZA-00000027,ZAC0017315,12/01/2017 11:35,COMPLETE,15/01/2017 22:31,23/01/2017 08:35,20/01/2017
ZA-00000028,ZAC0016887,12/01/2017 18:00,COMPLETE,15/01/2017 09:25,20/01/2017 18:25,20/01/2017
ZA-00000029,ZAC0007184,13/01/2017 09:12,COMPLETE,15/01/2017 19:17,22/01/2017 09:17,20/01/2017
ZA-00000030,ZAC0016914,13/01/2017 08:53,COMPLETE,16/01/2017 07:34,19/01/2017 17:33,21/01/2017
