ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00030520,ZAC0013804,01/09/2018 17:19,COMPLETE,02/09/2018 22:42,06/09/2018 12:56,09/09/2018,
ZA-00030521,ZAC0018382,01/09/2018 09:55,COMPLETE,04/09/2018 09:49,07/09/2018 15:14,11/09/2018,WELCOME10
ZA-00030522,ZAC0022525,01/09/2018 19:43,CANCELLED,,,,
ZA-00030523,ZAC0014428,01/09/2018 07:59,COMPLETE,02/09/2018 15:50,04/09/2018 01:14,09/09/2018,
ZA-00030524,ZAC0023129,01/09/2018 06:25,COMPLETE,02/09/2018 08:30,13/09/2018 04:38,07/09/2018,
ZA-00030525,ZAC0017333,01/09/2018 19:00,COMPLETE,03/09/2018 23:33,05/09/2018 20:03,07/09/2018,
ZA-00030526,ZAC0000413,01/09/2018 09:16,COMPLETE,02/09/2018 21:36,13/09/2018 09:44,06/09/2018,
ZA-00030527,ZAC0019366,01/09/2018 06:36,COMPLETE,01/09/2018 09:40,04/09/2018 06:21,06/09/2018,
ZA-00030528,ZAC0008846,01/09/2018 09:16,CANCELLED,,,,
ZA-00030529,ZAC0010846,01/09/2018 08:31,DISPATCHED,04/09/2018 18:25,,11/09/2018,
ZA-00030530,ZAC0019470,01/09/2018 19:34,COMPLETE,03/09/2018 05:24,06/09/2018 12:09,07/09/2018,
ZA-00030531,ZAC0004985,01/09/2018 06:31,COMPLETE,01/09/2018 15:04,08/09/2018 01:17,04/09/2018,
ZA-00030532,ZAC0017863,01/09/2018 09:46,COMPLETE,01/09/2018 12:14,05/09/2018 05:06,04/09/2018,
ZA-00030533,ZAC0006881,01/09/2018 12:17,COMPLETE,03/09/2018 03:21,06/09/2018 17:13,10/09/2018,
ZA-00030534,ZAC0010250,01/09/2018 07:21,COMPLETE,05/09/2018 16:52,10/09/2018 02:08,08/09/2018,
ZA-00030535,ZAC0001886,01/09/2018 17:34,PENDING,,,,WINTER15
ZA-00030536,ZAC0021948,01/09/2018 20:57,COMPLETE,10/09/2018 05:09,12/09/2018 23:51,14/09/2018,
ZA-00030537,ZAC0011572,01/09/2018 15:41,COMPLETE,03/09/2018 19:46,09/09/2018 09:17,08/09/2018,
ZA-00030538,ZAC0010873,01/09/2018 06:02,COMPLETE,01/09/2018 16:36,05/09/2018 04:37,05/09/2018,
ZA-00030539,ZAC0010966,01/09/2018 13:28,COMPLETE,04/09/2018 13:39,06/09/2018 07:30,08/09/2018,FREESHIP
